business_id,name,city,latitude,longitude,review_count,stars,Restaurants,Shopping,Beauty & Spas,Nightlife,Bars,Active Life,Fashion,Coffee & Tea,Arts & Entertainment,Hotels & Travel,int_b_id,latent_1
rQX6RVr6E4Zg9hx8GBFGHQ,TGI Friday's,Champaign,40.097136,-88.245695,15,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.816661791428629
iLxG2Oo8HNSZFvJvba4W6g,El Toro Mexican Restaurant,Champaign,40.1070836,-88.2438972,82,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.905022735840923
-zEpEmDfFQL-ph0N3BDlXA,Sakanaya Restaurant,Champaign,40.110113,-88.23321800000001,242,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.653335242958884
D6SCh4BwNb52wZIqXdS4JQ,Esquire Lounge,Champaign,40.116597,-88.242292,98,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,2.2325086361402926
rP-MueqMyZbiDbOEUELXtQ,Snow Meets Coffee,Champaign,40.118413000000004,-88.24309140000001,59,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,2.543354060182862
2YnUIGGmhoJX4Cd61nQLkg,Za's Italian Cafe,Champaign,40.1399247,-88.2458532,29,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.6821719056895037
t952QLgrh-5l1woJ4IFgUA,Vinny's East Coast Pizzeria,Champaign,40.0977984,-88.2484631,56,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.2248038546831483
xWGn7oqLOZu_00H8pZOtsQ,Cracked the Egg Came First,Champaign,40.10592329999999,-88.2120315,51,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,2.8158753132084544
ImSA-iQAAV_mHd32y4VIVA,The Brown Bag Deli Restaurant,Champaign,40.025666799999996,-88.5732515,28,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2.654896042139728
Epr8Ft7LwYAzotFwxQX6uw,Latea Bubble Tea Lounge,Champaign,40.1114942,-88.2304307,37,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2.4566586375108224
RYClIlSwSPpaptR8tOF0AQ,Lacy's,Champaign,40.1123076506,-88.20831052959998,28,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.8694220229998944
gEJZ5USuvC1r8_QvSvDCNA,K-Bowl,Champaign,40.109988,-88.24050600000001,48,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2.305243199816944
6o6XxnI8RWhnAVSdxqCJWQ,Jet's Pizza,Champaign,40.110597799999994,-88.24288840000001,42,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2.3904506353136146
7m8MoWuudrxU98fEw7iBIw,Sairam Om,Champaign,40.081896,-88.295835,17,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.7295789266576747
1DedueD53YsKcpqMWPIe9w,Cabo's Cantina and Grill,Champaign,40.083446,-88.297332,23,3.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14,2.084847339813812
vAUDxhbsWZKI8NJlsYwCMA,Flat Top Grill,Champaign,40.111425700000005,-88.2304288,84,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.879750489129193
pCer-vIZM05p423MFmiSng,Kofusion,Champaign,40.106822678,-88.2217281018,35,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.242198760191349
gaR5jDvZsOC0RQeY-W1eqQ,Mas Amigos,Champaign,40.1127011,-88.24072790000001,59,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2.6707288283380413
6GJ9K4HadzMBZG4WY_P9bw,Smoke 'Que & Brew,Champaign,40.083446,-88.297332,23,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2.3788131501412737
pjO0ZRGpCwlaOzipZDa3HA,Sam's Club,Champaign,40.138863,-88.2637177,21,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19,2.1825602103882145
EoPd4SI9-mnkyb2CJcgkLA,Minneci's Ristorante,Champaign,40.112801,-88.239078,35,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1.9564455349550682
5jXwI9WpDxGDmzmkmE0RTg,Oishi,Champaign,40.145176899999996,-88.258404,88,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.9975238707798353
-865Ps6xb3h1LP67JcQ3mA,Rainbow Garden,Champaign,40.1167919,-88.205811,30,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1.877457394099268
aLdMqYoHqc77JjOybdPX-A,JT Walker's Restaurant & Brewery,Champaign,40.194982,-88.4039932,62,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23,2.204138362617118
Gvox18F9QxsSS9qG2O8E-A,Sam's Cafe,Champaign,40.116985299999996,-88.2427068,84,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2.383491280018127
9SJ5sTileHeLXVMJrQiEDQ,That's Rentertainment,Champaign,40.1092217,-88.2305203,49,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2.9558791413067445
