business_id,name,city,latitude,longitude,review_count,stars,Restaurants,Shopping,Beauty & Spas,Nightlife,Bars,Active Life,Fashion,Coffee & Tea,Arts & Entertainment,Hotels & Travel,int_b_id,latent_1
LIvXzdMJrIb6IY5Y3tqicA,Nan and Byron's,Charlotte,35.212521,-80.857639,291,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1805427164089357
h7uxML49NQ_Wj-7zk0DSqg,O'Charley's Restaurant & Bar,Charlotte,35.295757,-80.741677,41,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7732286341064936
_OtUeybIKTx2jhLVYV66wA,Jersey Mike's Subs,Charlotte,35.346468,-80.852589,15,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.4852201973489914
5lDEshkjy0Xmo6FzsfwPHA,Park Road Shopping Center,Charlotte,35.174878,-80.8487449,26,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.470389987742934
YZjqRPrLZBOh2Lz5iVbuHA,Taco Bell,Charlotte,35.084106,-80.87895400000001,14,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.2281234640212024
lwKOu5qHzCieui87LGrdRg,Exit Strategy,Charlotte,35.190190799999996,-80.8878045,101,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,2.6557571465800724
LpyndkMvevIQA-JHoReHNw,Jaipur Indian Restaurant,Charlotte,35.155407000000004,-80.875309,109,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.2645071953695872
yuwmVUmsFVawe4zxnWZfNg,Flip'n Chicken,Charlotte,35.086393,-80.84885600000001,86,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2.268964913393069
YaFM08fEdbp-iSon3Opsbw,Monterrey Mexican Restaurant,Charlotte,35.2941686,-80.7397847,68,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2.2364026210047414
1ddi7j3nph9tuU3J3TK6LA,Cheddar's Scratch Kitchen,Charlotte,35.2609158768,-81.1424550271,60,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2.132011374322483
nPJqwNZWIxHd-vfE-E3XQQ,Siam Garden,Charlotte,35.1517973,-80.9507926,99,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.1205691874726935
hFZX4EKI77iLYRjMb4kN7g,Kien Giang Food 2 Go,Charlotte,35.2191059,-80.79705190000001,16,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2.623072168789574
aA4AkefTWdLm94rgf6lUUA,Snug Harbor,Charlotte,35.219977,-80.8132486,52,4.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,12,2.662733142221402
64MxB_OZQ_2JCklRm1LYxw,BT's Burger Joint,Charlotte,35.102668921100005,-80.98548535,62,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.065428766482942
QbbpMJiSU4M5g3x-q-lLuQ,Blumenthal Performing Arts,Charlotte,35.2267961,-80.84223320000001,25,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14,2.6837871758401404
6iJ8yrsueJ8QH3HceGstxw,Table 274,Charlotte,35.176496,-80.802224,52,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.2603971090215005
MV9fUwgI2AQa4uZArynRlA,Monterrey,Charlotte,35.089838,-80.868412,53,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.1771227046858224
z2Yivr-C0K0H2sLNXvnZyg,Peace -N- Hominy Q Shack,Charlotte,35.243139855,-81.0284845728,168,4.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2.5280081993322887
-WvZ8KTqgRnEvhRwzc-bvA,Corkscrew Wine Shoppe & Bar,Charlotte,35.4456919,-80.8788441,55,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18,2.270118339060417
rb4d1_OtpVD91J5NDp4Y3w,O-Ku Sushi,Charlotte,35.2096,-80.860421,75,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2.5986922745117016
H9a6IRS0edhW343Y2kXSSA,The Liberty,Charlotte,35.2114719,-80.85844509999998,313,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.178176889752713
qkoDky591Z6K4IYhlbt-Nw,Salon 1226,Charlotte,35.220652,-80.817326,40,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3.111588580096527
dHszFOyOkBBOwQaZgg7Vhw,Machu Picchu Peruvian Cuisine & Bar,Charlotte,35.082645,-80.885621,89,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2.249974577717019
MDJqm5KN1hFWm4R2VtNIlw,Waffle House,Charlotte,35.087963,-80.858488,18,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2.0471836230411564
yoC9pp8xQfW4uSiiycggKg,European Wax Center,Charlotte,35.096878011,-80.7788550854,45,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2.5841015608731817
KaxjIAYLhqXN8-p_iZwgBw,Pasta & Provisions,Charlotte,35.1669955,-80.8508653,26,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2.925325633686515
JcKtLW936yeF4kf765hmjQ,Cabarrus Brewing Company,Charlotte,35.4158214,-80.6058123,28,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26,2.4079031433546882
ACRXKq6Ngtktnvf6rdcGwQ,Cracker Barrel Old Country Store,Charlotte,35.2398179,-80.91816120000001,51,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2.064385965277989
K0VNhFhaOrO3CypCqofjwA,MA MA Wok,Charlotte,35.0482549,-80.8162405,25,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2.014891736135224
H3EBEKejPL8tsB1gQYG1Ew,Chick-fil-A,Charlotte,35.104851000000004,-80.879773,18,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2.4309465130615266
fOKeVUHC7nb6c8G5sILdHQ,Tony's Pizza,Charlotte,35.357556,-80.868144,81,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2.5373817104411858
7nvdCF_UQAiOx0h3x5tiKg,Belk,Charlotte,35.152385100000004,-80.8321252,37,3.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31,2.5142361783573817
cpoymNVg8jDEv8azrAg5gQ,Olives Mediterranean Grill,Charlotte,35.1383505146,-80.9354200521,42,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,2.2379914028978654
COqLTo3bb1fuMIg2_fA6Fw,Bread and  Kabob,Charlotte,35.312179,-80.713576,48,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,2.3942681347426795
CWu6oDNKDIABkzlQYMC-FA,Famous Toastery,Charlotte,34.9985141759,-80.8555686371,29,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,2.5862528293500127
SHFlELFcEcAOJv_fTAKChQ,Dandelion Market,Charlotte,35.2286689,-80.84241,452,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,35,2.4548304273005765
VJ46ohh-N7iHKfEX1z7mcg,Cast Iron Waffles,Charlotte,35.152852,-80.840464,30,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36,1.8084924707359225
EaIho6EvTuODNHPLO98yeQ,Brixx Wood Fired Pizza,Charlotte,35.1465729,-80.80895,62,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,2.1419829103427492
64gtZKZL3gA_CO2zJwvSog,US Airways,Charlotte,35.2202573687,-80.9440137293,167,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,1.95724706535449
SzK2HBcDTbIBKcoV_iivpw,Metro Fitness Club,Charlotte,35.174778,-80.839997,15,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39,2.7661328530364755
uejutOD4_-IUaY5cKkpezg,Rush Espresso Cafe and Wine Bar,Charlotte,35.0541188,-80.8519401,164,4.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,40,2.7486049986608925
O5AjarihqW1V8RlJnoef9A,Matt's Chicago Dog,Charlotte,35.2240131,-80.8464728,58,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,2.5248152703352895
qcTaluNjodgXvSE-MFYvKQ,Cicis,Charlotte,35.1190101589,-80.9574144334,19,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,1.4460685023149042
kbNXYS9HljjLf-X8WaaCCg,Vintner's Hill,Charlotte,35.1760893,-80.6537344,23,3.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,43,2.244333680110631
FrfzI901uS2bU2kgUkqaVw,Pearlz Oyster Bar,Charlotte,35.060865737,-80.8144658479,70,3.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44,2.3339262730501282
cjq6pMGwctZT9OhS9_fDpw,Fresh Salon,Charlotte,35.062218,-80.77334599999999,24,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,2.71071735770375
pOwziZ1OSMO7KYiIPJA2Zw,Teavana,Charlotte,35.152385100000004,-80.8321252,30,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46,2.0552868492320076
ES0ijQ-KlNPUoXl4tK1tDQ,SouthPark Mall,Charlotte,35.152394,-80.832136,172,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47,2.4899618882165147
XZ6cTNYjdO0MzqLqT9EMyw,Tega Cay Gourmet Deli,Charlotte,35.0474652,-80.9918522,35,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,2.7894438035628886
s8OLoPfOpB0FbK5frI3CkQ,The Peculiar Rabbit,Charlotte,35.2194153,-80.8137099,346,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,1.9527564431448892
5aGYZbjkXpCecz4QH2ZKFg,Dragon Buffet,Charlotte,35.145729700000004,-80.93653370000001,59,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2.179489287531503
nDZWoEznY5-oSCc2HvoMtA,Villa Francesca,Charlotte,35.226051,-80.836185,81,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,2.151301541873037
7rnO3Fb6FRb58-RMhSk-6g,Golden China,Charlotte,35.077674200000004,-80.934354,23,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,2.707173140350621
nuJbVf0KUcpMG3i3RtNd_A,Trifecta Grill,Charlotte,35.0073302097,-80.8543936736,18,3.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,53,2.1479190736183695
pDoDY-cDLyeKQgDx5RAlnQ,Jake's Good Eats,Charlotte,35.223631025,-80.63868653739999,130,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,2.2538296929623094
yQab5dxZzgBLTEHCw9V7_w,Charlotte Douglas International Airport,Charlotte,35.214731,-80.947282,1385,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55,2.2131596247602117
oqvFJUYqxaN9YnQHP6hPcg,Dunkin' Donuts,Charlotte,35.2953810692,-80.740008211,22,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56,1.6709890751138863
SBPttAVjzEnN3VE6sKiaMg,Jo Jo China Bistro,Charlotte,35.061319,-80.814423,35,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,2.235347346991241
xjHG4M4hDHawmZQkSwf30g,Stars Burgers,Charlotte,35.0697041,-80.6768203,23,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,2.2135043831806365
Qsg-2Coum0ccbXuJWDwZqA,Dogwood Southern Table & Bar,Charlotte,35.145938695,-80.8300620574,145,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,2.6001625479376527
8zBhtpDGERGiHU48BWQVDQ,Fitness Connection,Charlotte,35.2198504972,-80.85040449739999,33,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60,1.7102413853677587
7YDleCtN_pXsqjo7yQZ4OQ,Latta Park,Charlotte,35.2102786,-80.85177879999999,15,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61,2.494560628069803
LpxBWoPK3aP3Sjhbm7-lhw,Freshii,Charlotte,35.2255285135,-80.84409584689999,28,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,2.2794617572280518
pSkymMfPhLw-aJmFVu4bCw,Waterbean Coffee,Charlotte,35.476565,-80.89222590000001,38,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,63,2.7604806407610383
pB5qQjuxJyxN78jsmCqnZg,Carolinas Aviation Museum,Charlotte,35.2193016237,-80.9300472877,33,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64,2.4835503956952674
YAJzBGvqT3dT_qAg6u8E1A,Lebowski's Neighborhood Grill,Charlotte,35.199889,-80.842288,256,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,65,2.5729881564252817
-L9TeQN_JgLBvqf9wmsBVQ,The Broken Spoke,Charlotte,35.186000799999995,-80.8814186,50,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,66,2.5817135724230127
s1iaN6rBT9yUfuCUYNPX0A,McMullen Creek Greenway,Charlotte,35.076384999999995,-80.841104,17,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,67,2.8360400886847255
JhrGRSeL0_ZhEbRFPBp3yw,Morazan Restaurant,Charlotte,35.213908399999994,-80.77124620000001,21,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,2.581015236670537
5fquJHY2hMX9tPRD5s0t5g,Rooster's Uptown,Charlotte,35.227071396199996,-80.8412452111,290,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,2.3858778803615945
ACipqGe2moRp4MwANsxw-A,Picasso's Sports Cafe,Charlotte,35.291135600000004,-80.735185,18,3.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,70,2.017348856535297
-8iwcXhLnyqbLgvcrJGgaw,Red Rocks Cafe - Birkdale,Charlotte,35.445088,-80.87937590000001,133,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,2.3851224266088993
gIIEgpdUPm1IMs-yKl-91A,K&W Cafeteria,Charlotte,35.088675,-80.865605,25,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,2.2214634080374887
Jy-lvEP_0ktZ4_3lYnKgng,Codescape,Charlotte,35.2245307,-80.82033390000001,56,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73,2.765521487411119
Oy2WnPyiOlPFvPKMIuOC8w,Tin Tin,Charlotte,35.0950429,-80.864143,173,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,1.7423626174045423
gGKrs1WtnASPApnG6gacOA,Regal Cinemas Park Terrace 6,Charlotte,35.172903999999996,-80.850082,45,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75,2.3871734994133877
HtObLsspK0xIXfNPb7eUmA,Fuji Japanese Steakhouse,Charlotte,35.1029373522,-80.9848520092,90,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,2.1212506955913883
nzgmxdQWDQnsub2SwZH3aQ,Tilted Kilt Pub & Eatery,Charlotte,35.116432200000006,-80.95790790000001,72,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,77,1.8419833572668742
03fe5vYwHA9TxlJJ-7mDMw,Pressley Park Restaurant,Charlotte,35.189003,-80.89231,18,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,1.9524730484291097
OQcwCyQ53w0rUDdxJXHJfg,Carolina Prime Restaurant & Steakhouse,Charlotte,35.1790007,-80.8808078,58,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,2.185073533854749
YjPWt-V5oMkakdRWrALb8g,Honey Bun's Cafeteria,Charlotte,35.1626388384,-80.73807651989999,27,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,2.452938861850099
8YyBAyA3TKpaVxy99FRWjA,Taqueria Express,Charlotte,35.203291,-80.72474799999999,18,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,2.3644614345160475
Yc5_nA9NqqxOp8WCugF-Ng,500 Degrees New York Style Pizzeria,Charlotte,35.1533683,-80.8752317,103,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,2.5139322063450638
qe1HlnWwBfOOy76_7sirkA,Fort Mill Family Restaurant,Charlotte,35.0087239,-80.9149577,43,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,2.434887888860137
UByM7N0mF-ylIGUuIWHCtA,Sullivan's Steakhouse,Charlotte,35.2102729,-80.8600584,185,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,2.3769420609882776
-guxo51AuUa_J8RuJ70EWg,Sweet Tea's Restaurant & Catering,Charlotte,35.0869866,-80.87176540000002,73,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,2.0085655180918733
peiVYWwGP8mDzwUSQ5YROw,Starbucks,Charlotte,35.0822,-80.87722420000001,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,86,1.9090409929240015
Pu7GTgTzdjbxAhr8A73zGA,Ming's Bistro,Charlotte,35.501694,-80.861008,36,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,2.4527890349716728
e3dbqeMI4k1Jl2VBCq9rNw,Luigi's Pizza,Charlotte,35.209084000000004,-80.857952,11,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,2.364683625613161
8rtd2ZoeNMHjCQQnWuZ-bQ,Famous Toastery,Charlotte,35.4991952,-80.84879570000001,181,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,2.465080516888195
DYX1KsipIxOzz_pqlvUzvg,Capriccio,Charlotte,35.2831030494,-80.6689347506,62,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,2.582644965882188
nhkpFzSuVJZp_NMjLnJc1Q,Old Navy,Charlotte,35.105518000000004,-80.878489,16,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91,1.5321775783137186
b-0q4xbL6EWYUqnwqcYM4Q,Monterrey Mexican Restaurant,Charlotte,35.1357117,-80.7126734,46,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,2.310637925754354
LQQw_vRWCKTYDCaMdWeUdg,LongHorn Steakhouse,Charlotte,35.132053000000006,-80.711299,33,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,2.2376059980926626
OsS2vShy3aCxtsNSO0pDbg,Abari Game Bar,Charlotte,35.23612,-80.82015,52,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,94,2.518070910759955
ki5qgWUCuTpb9si0eJL1fQ,Taco Bell,Charlotte,35.31006,-80.75372,23,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,2.0135567560051086
L5VPrCwatTgGUrfU9y4ItA,Starbucks,Charlotte,35.4193611,-80.67510379999999,17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,96,1.9446097758703298
UXL5eg0e6W1AZzmX6NAXdg,Brickhouse Tavern,Charlotte,35.5038532,-80.848752,115,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,2.2822338740240102
N2M0WyGCyTV5jMOYPH7odA,Umai Sushi & Asian Bistro,Charlotte,35.117274,-80.856801,68,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,2.3166513112063045
k2qR0poWOv9fny_7e1IAiA,Istanbul Hookah Lounge,Charlotte,35.225906,-80.846624,38,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,99,2.2614291860792326
k6m_tyBCQ7Pe2BeHXFXj6w,Target Stores,Charlotte,35.058850799999995,-80.81609240000002,20,3.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100,2.1900999648241872
as3TgTaCefJ-VL6Rn3GU6A,Prohibition Bar,Charlotte,35.227933631999996,-80.8418688923,47,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,101,1.8237517492924196
t8V_P7ZzRrhDQoqeoGVahQ,The Cellar At Duckworth's,Charlotte,35.228984999999994,-80.839671,164,4.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,102,2.642654604681466
3njJmFjJ5lTuF5CshKR_Xw,Five Guys Burgers and Fries,Charlotte,35.348126799999996,-80.85861729999999,29,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,2.538299460699395
OE_IDW5w_W97sBcZvq2Img,Harris Teeter,Charlotte,35.1756249,-80.850402,14,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,1.692821430219661
y6Fmhz2CceimbgvxNVgE-w,Los Arcos,Charlotte,35.309928899999996,-80.754271,42,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,2.1415253909698593
tLSgXuy0g8nxX6Xgb7nvrw,Lotus Buffet,Charlotte,35.3171014,-80.74022,31,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,1.7643512973174376
