business_id,name,city,latitude,longitude,review_count,stars,Restaurants,Shopping,Beauty & Spas,Nightlife,Bars,Active Life,Fashion,Coffee & Tea,Arts & Entertainment,Hotels & Travel,int_b_id,latent_1
93otbGHE0s0m-lU1osvg9w,Rivertowne,Pittsburgh,40.445986100000006,-80.0108802,102,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.961809144171889
kdjrQ2tuY4eqo4JZWIx50Q,The Scarehouse,Pittsburgh,40.499285,-79.944321,38,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.5340555530826228
jDqaz1jKdeWk_fTVCzc1Pg,Conflict Kitchen,Pittsburgh,40.44258082,-79.9527347618,145,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.67318699629859
HYwbHY-srAOoH-t337DpMw,Tusca Restaurant,Pittsburgh,40.427361100000006,-79.964962,25,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.4367338958473546
ZYof0WYlilJ3pgWNSgmYKQ,Pizza Milano,Pittsburgh,40.438453,-79.987978,56,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.3501472704587236
u7CxxEzx8hvjoJ8onN4zTg,Pittsburgh International Airport,Pittsburgh,40.4958772052,-80.2560925484,364,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,2.2235626678433897
NQ7d9DIzP4Uip8yP9hgwPA,Local Brewhouse,Pittsburgh,40.448156958,-80.00410906970001,27,2.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6,1.7918026782961054
1FodVSAxoKqEKYQc3QHgvg,Bellisario's Pizza Palace,Pittsburgh,40.3830261,-80.0153449,23,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2.5932325181075084
prZHC3I8JUI98n9iJVvDbw,Starbucks,Pittsburgh,40.440875299999995,-79.957545,19,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,2.2337239392127164
aaPncz0ICB85up3HUl2TEg,Shogun Japanese Steak House,Pittsburgh,40.432545000000005,-79.783247,25,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.7037329400397534
lqHk6vmnSoTaZwMLSfq1MA,Pork and Beans,Pittsburgh,40.443036,-80.002605,68,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10,2.58294696214789
2ERnU_ihjdwusbdlXSf3gg,Chica Loca Taco,Pittsburgh,40.4512206,-79.9346006,19,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2.0754072832335053
M70Jr9yUWCDfoTsZS3uq7A,Eden,Pittsburgh,40.4511828,-79.9344645,129,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2.4573591633720953
Uh6EhbFKgQlhVpfvnqsfHA,BreadWorks Bakery,Pittsburgh,40.461940000000006,-80.01929,19,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.8542372402868983
O-l6sXzgGziFXmfzR_hi7Q,Dee's Cafe,Pittsburgh,40.4285864,-79.9846737,27,3.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14,2.2894850953288572
G7QZWVm-ytyKHpvUq3ggFA,Sal's New York Pizzeria,Pittsburgh,40.4286949,-79.98447390000001,18,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.9575067143879659
8qNOI6Q1-rJrvWWD5Btz6w,Luciano's Italian Brick Oven,Pittsburgh,40.3336125,-79.8117608,34,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.8571471989357446
8vzMRsSIjkdjwq3u190ohw,Sree's Foods,Pittsburgh,40.443039299999995,-79.99692320000001,45,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2.147144406864874
k7VQD0pbdFN0Ju0yNVrtZQ,The Bloomfield Sandwich Shop,Pittsburgh,40.462632,-79.95024599999998,42,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2.377078958870673
buzXlOCvxtohdMD8g3EWsw,La Casa,Pittsburgh,40.457861,-79.9280308,47,2.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19,1.749636368367267
bit99XCHmJlYds9b4tXTEg,I Am Yoga,Pittsburgh,40.4377855,-79.922754,24,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20,2.601700938902333
0MR1J0U8uOXtvZlHV-johQ,Kickback Pinball Cafe,Pittsburgh,40.4712221,-79.95983670000001,33,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,2.644487201450524
