business_id,name,city,latitude,longitude,review_count,stars,Restaurants,Shopping,Beauty & Spas,Nightlife,Bars,Active Life,Fashion,Coffee & Tea,Arts & Entertainment,Hotels & Travel,int_b_id,latent_1
826djy6K_9Fp0ptqJ2_Yag,Chipotle Mexican Grill,Toronto,43.6449201,-79.38333279999999,68,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1991382164261926
L_thK7r3K_h5M4tV7amEKQ,Honey B Hives Restaurant,Toronto,43.8229818717,-79.2479152131,118,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2973527964875644
mRv3Z25F56qduMKnvnCkVA,Kokoya,Toronto,43.778222799999995,-79.414869,41,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.1070820098516254
IikkB8j2E-1QmujRsPh5wQ,Kayagum,Toronto,43.7773843697,-79.4152951241,73,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.092634940013012
q_KQbgnaYDlPx8EHTydcBQ,Kiko Cafe,Toronto,43.850516910399996,-79.3575260416,63,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1.9660844891169604
DKqhCd3Vwl3CEo8vUHhLYg,Bombay's Chutney,Toronto,43.8764965,-79.4105872,43,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2.066067899775681
ITIqv6QzRV_tE-PS6Brw6A,Fushimi,Toronto,43.82666079999999,-79.3507738,43,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.8229450269076615
tGBeFfwXCUZOsb0YWiMWIA,Ka Chi,Toronto,43.6543053,-79.3991325,101,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2.3666111165871486
W9Bh_7mfuUrEAdQBJMVOvA,Sang-Ho Seafood Restaurant,Toronto,43.6529547,-79.3991357,38,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2.499679809899426
URvh6DgFyA-d6Z7OVKxczg,Rally Sports Bar + Smokehouse,Toronto,43.7174661,-79.305012,75,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9,2.4722286733184156
_vZ7bHaGCjllogiZ7RH17w,Origin North,Toronto,43.7676848778,-79.3855388837,155,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.9168719265362595
3dG6AB7o5QMVQzga0zotiA,Irish Embassy Pub & Grill,Toronto,43.6480491,-79.3771535,113,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11,1.8362039932977259
pEH8XwiyGOe1t7GlboAgGw,Los Colibris,Toronto,43.6473279707,-79.3871869343,105,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2.1284024904840986
3OknFx5ox_1O9nmP5DSFBA,Curry Twist Restaurant,Toronto,43.6656754,-79.470539,90,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.334253482296945
5CdMd2cmONeVqkWx_DNfAA,Pho Pad Thai,Toronto,43.857594,-79.357332,41,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.152194887210844
sHXIiGercy22UVpwMMmYng,Milestones Restaurants,Toronto,43.64864,-79.39101109999999,78,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15,1.5927446266049938
eqg6UyuVLwzAplUvN9UkSw,Lisa Marie,Toronto,43.6469223,-79.40602259999999,130,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.27025469244954
LPCFfrQow0kl7EABuM7VDA,Inatei Japanese Cuisine,Toronto,43.849522969,-79.381646709,113,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2.446117593413024
TRxDx0JhUX49iL-QUHEm0A,I Went To Philly,Toronto,43.661863200000006,-79.3833046,49,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2.4479077987040787
rATlMkHZdcwqQ12aIWg10w,Sky Blue Sky Sandwiches,Toronto,43.664569,-79.4131014,81,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2.4099144007870463
LuBj6jfwKsbpKy441wkRlQ,Sushi Xtra,Toronto,43.6487356,-79.3952314,54,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1.9574987774291204
bGoGHSWHvhftHMWWxQXYbw,Ouzeri,Toronto,43.6782159,-79.3488696,122,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2.30083845491712
AUv2UoAAi7VASJ6VK5lOlw,Kensington Market,Toronto,43.6545216338,-79.4018411636,190,4.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22,2.7028171686114932
nv14hi82FfVR1a-LgMS_BQ,Chatime Scarborough,Toronto,43.806017499999996,-79.2879659,41,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23,2.2100896738542377
gpn9-HR48SA4iS1PqF4bIw,Bâton Rouge Steakhouse & Bar,Toronto,43.8435304,-79.3767323,84,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2.1984930348607885
3PhF188adiC8ZutKRP9gyQ,Health Herb Harmony,Toronto,43.8447840664,-79.3833137275,53,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2.005350893186673
dw2ST-AHUbu2xq0QNfngBA,JOEY Don Mills,Toronto,43.737553999999996,-79.343523,239,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2.189799902686352
-GDfRHphXjccSWhliFHnzg,Macey's Restaurant,Toronto,43.577291183999996,-79.6533525735,27,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1.928472452399156
3dfJjFeXVb8UoESrypybeQ,Ninki Japanese Cuisine,Toronto,43.6493491,-79.3795277,67,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1.656037489838785
w761Gs5wswaiKRNq0IpA7w,Fat Bastard Burrito,Toronto,43.622319,-79.521924,58,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1.9641829877559172
WrKAFRFcx6GiLYR4Pshtgg,Mezza Notte Trattoria,Toronto,43.772560399999996,-79.4137686,39,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.9914682219753972
