review_id,business_id,user_id,stars,int_b_id,int_u_id
2_BvxFBvtyMKjNf3gzmbqw,1DedueD53YsKcpqMWPIe9w,8f9m9EdA6M5Jr-sqdPrc5A,4,14,73
V926hjwKcbT-ZVJOwSeXnQ,1DedueD53YsKcpqMWPIe9w,oJl-C8UECsibhHS2dB8yzQ,2,14,431
fnO18xosHxN5E8tKtI3AGA,1DedueD53YsKcpqMWPIe9w,qJfW5-Z890LfBV62xDqzUQ,5,14,446
ZLJmCiZ2W68cn0hgautPCw,1DedueD53YsKcpqMWPIe9w,lsabqVi48xglkCa2HaqAdA,5,14,409
DdejAQTqbNgzYQ7Vzx95sA,1DedueD53YsKcpqMWPIe9w,Khd3IuzGe5cd1oKiOF_QjA,1,14,169
fPjszzArAWPksVLTQnVzCA,1DedueD53YsKcpqMWPIe9w,tQBrhzi7ixctWgthHHSHgQ,5,14,484
LVMdHcurRep_3F0yO6jv3A,1DedueD53YsKcpqMWPIe9w,gF37cxBOnIi3ZoC6FKmu-Q,5,14,370
63KRAtd8rTlx-rmOLds50w,1DedueD53YsKcpqMWPIe9w,4bsc9m93QmN6bMocwaMS5w,1,14,32
OAOsY1rOLvR7hnvGvg2r9A,1DedueD53YsKcpqMWPIe9w,59ygiX9-a8B91rb5qvtIgA,4,14,36
ky_GtQE1tUHqtQHt6M4VcA,1DedueD53YsKcpqMWPIe9w,qmjoMFMZdLH69_6eGTGDZw,1,14,454
Bi9uceuDxu8mSA-zUElF4Q,ATEOnDYQCYSwCCH6hxenlQ,dotVbK6H6_wkxACxxOU05w,4,38,346
X_t0b6duMurcFFYUFDLJ6g,ATEOnDYQCYSwCCH6hxenlQ,3wfIh8zXcgPmJs0UBgs_IQ,3,38,26
Ibp8itRnOleH-yhpdGU2vA,ATEOnDYQCYSwCCH6hxenlQ,qntQp9UoeP6ju8D_W0Y0cw,3,38,456
051TLQKMENb9flRtG7DOWg,ATEOnDYQCYSwCCH6hxenlQ,nbSHiwedszsDdjZzU0iJvg,4,38,424
jOn_qrYe6RhQrpMF-f6thg,ATEOnDYQCYSwCCH6hxenlQ,9eYqS8pyj4rPj8s5q3_TnA,5,38,80
GPe7KbkCjSYsYjg5O0ekhQ,ATEOnDYQCYSwCCH6hxenlQ,D7ypVwmT8535TsPslvVUQw,3,38,112
ooV1DIhWTIISwsNUKta4lg,ATEOnDYQCYSwCCH6hxenlQ,iSqAA0keruU-ZZro7jW0zQ,4,38,381
6aQaCy9pwta8kRgAkajFtg,ATEOnDYQCYSwCCH6hxenlQ,NXmp8CW4RFKAU0oNWb--wA,5,38,195
e7GPlOa3Wc1lIjJ32FkNbw,SmHuGnqBCjGg5e8QAkBTtA,OieG0sYd8O8Y0-3pH12-Uw,4,193,207
oU3uwDZLOKp7CEn4pNSHtA,SmHuGnqBCjGg5e8QAkBTtA,VGrb5CNrEjjAiixzZEO5jA,3,193,273
e8jRFcgSjU_xqJtcwc-27A,SmHuGnqBCjGg5e8QAkBTtA,ZT70ZzpVrWl013A-sId3Kw,4,193,312
OlIAgDpvMwSNoseiwSnskA,SmHuGnqBCjGg5e8QAkBTtA,mZujTrZN57WyW9oEmqI1TA,4,193,414
c6pRNRip55vsye5rXu3pvw,SmHuGnqBCjGg5e8QAkBTtA,HRncC8VLLBcsGDnwjVuJ0Q,2,193,138
oaLg0lGbMBZ40ehQ4Du5xg,SmHuGnqBCjGg5e8QAkBTtA,Yk1CJvoqDlhkCWMEf-DtFQ,2,193,303
lFAgBL_rnaWpLBOpwstYsw,SmHuGnqBCjGg5e8QAkBTtA,HlKTzixZCF62vtQFlwhFhw,4,193,142
KK4a_Fd5rkFV01keCsq_aw,SmHuGnqBCjGg5e8QAkBTtA,QehMW7YNxEBhyKDBsPi7Dg,3,193,225
7N_RUPhqeB_2y6FJFl9z5w,SmHuGnqBCjGg5e8QAkBTtA,9DN5D2IuLww4Yup4mNhLFw,3,193,78
ZjI7C3b0ZlCR9ezBiWioLw,SmHuGnqBCjGg5e8QAkBTtA,IxiVty8zfZC093jiaFaG3A,4,193,152
3bEK8B4XOdKgaR1a7s4hrg,SmHuGnqBCjGg5e8QAkBTtA,SRtAAM81V00MfFrqJ_q7ww,4,193,245
yJXT-akjopnaD1KBGZ0UgA,SmHuGnqBCjGg5e8QAkBTtA,xN-xoLhTHUFfTS_BMGG0xg,2,193,511
vU0TwvHvcOgBVKhELoMBHA,SmHuGnqBCjGg5e8QAkBTtA,3L7nHnaeSHSdZXzV_vdvAQ,2,193,23
NEL4c0j6z5Za5X71WQVzoQ,SmHuGnqBCjGg5e8QAkBTtA,57STuz5NNVhk6RHhdyssxg,4,193,35
JvqpbsYI8Wp4CAEqaWMzyA,SmHuGnqBCjGg5e8QAkBTtA,QZ_Arlwoj0ghfBvg69rjOw,4,193,223
NN7G7xzas83pz_-M-yBFxg,SmHuGnqBCjGg5e8QAkBTtA,V3VRt6jS1nCuezRrq5L94Q,1,193,269
YiClle2APmfqJ9FrgyPRYw,SmHuGnqBCjGg5e8QAkBTtA,2-iZ3lifB5gGWcpP6EgCCw,3,193,19
cTzVM1OrHqPpbGfX2DFEyA,SmHuGnqBCjGg5e8QAkBTtA,_tm1zLDjcJ_uwIBPZu-4jQ,2,193,325
aIz3phSB8WpQKQJQQR16Ag,SmHuGnqBCjGg5e8QAkBTtA,5weXEY9A8iX-2bjTNy1grw,1,193,45
