review_id,business_id,user_id,stars,int_b_id,int_u_id
0jXjfEylh62K-jftEQToGw,3EjcQBo6wGAGBBcCfM5_WQ,t8vDCPg-8z-d9ePghOTXWQ,3,483,1381
KWa2d7CyTe4Rp_NpoLrlnQ,3EjcQBo6wGAGBBcCfM5_WQ,Jnx8GE372nbzljZ5VqZcGA,1,483,477
F35LjG2YN9mpJS2eVhydqg,3EjcQBo6wGAGBBcCfM5_WQ,r-zUIQPaHzvIyL93wQaoiQ,3,483,1329
I84And9Ewezac6mD8dhslw,3EjcQBo6wGAGBBcCfM5_WQ,Nwb9CPnmRJFBzQsXkCq7-w,4,483,593
EqMnGI5G13cTfB_L5QFDkQ,3EjcQBo6wGAGBBcCfM5_WQ,1jYSeP_IgHR2gP8cxjQV_w,1,483,58
_5mQwXI3p_fzx9z8I81lUQ,3EjcQBo6wGAGBBcCfM5_WQ,tbycp0aRhRsiAVYUAVR_uQ,2,483,1397
dNOwEq4gycf4Nrp52yUakw,3EjcQBo6wGAGBBcCfM5_WQ,u2NjjrFtg4ZMsoDXtDBqjA,4,483,1407
gAR2DAW8RgU7JRYpQTPAfQ,3EjcQBo6wGAGBBcCfM5_WQ,THn-m4z4o8Pno5PqFRjwLw,2,483,707
VqGBZhFhW0QJXorAr4bebQ,3EjcQBo6wGAGBBcCfM5_WQ,wd3xoNaDLib8dhQ7BxUl6g,3,483,1470
lnDxFt8Rn9VvxIJ3HDrYEQ,3EjcQBo6wGAGBBcCfM5_WQ,RkzQJ--bwZaanE8JPYmIWA,3,483,670
p8BtljUjSufWe0MfAHUwUw,3EjcQBo6wGAGBBcCfM5_WQ,wmJsu8F-82nLLxq2cNASOA,3,483,1475
eL38SOsiduduPDxyUBw_QQ,3QxRg8v2Uej_--8DyO3maQ,tG5s3vgVpHun0unatapjMg,1,409,1388
6bTv2JUiJkH__kLZZRgHPw,3QxRg8v2Uej_--8DyO3maQ,tSare97TlytkOT-I4FVhbA,3,409,1391
5pR2bkrm9Ezz5uyXEcUxaQ,3QxRg8v2Uej_--8DyO3maQ,JK33W3CV9nzktfuIunB6Ag,1,409,458
IMGIgCCN_9AqbCFKCLPIYQ,3QxRg8v2Uej_--8DyO3maQ,krTXvpaRz5b6r_m3p4DpcQ,1,409,1171
5g9WBNbwqmhzJ_T6fxWXXw,3QxRg8v2Uej_--8DyO3maQ,H9uwQtvNcjtjykMVcxjoJg,1,409,414
MvBEzYr9NpiIGzLw3j8T1w,3QxRg8v2Uej_--8DyO3maQ,RxsONn-lcgCOhh1Z-2v-4Q,1,409,673
A-79QsQISWJxW2C6GbW0dQ,3QxRg8v2Uej_--8DyO3maQ,GrUCjpll6wTlcEhjuabHTA,4,409,406
32-MSw_VdMBHHgD60FGizw,3QxRg8v2Uej_--8DyO3maQ,GrQzEG9PlNx9DkgBvgWfaw,3,409,405
fwG6SiPWMVGS254mXdQfaQ,3QxRg8v2Uej_--8DyO3maQ,fQc5m3VGiKax4yOfQhUO1w,1,409,1048
3G-VC-dz2eVQm_VlxBChuw,3QxRg8v2Uej_--8DyO3maQ,PLOYtrCMUFPHQe2IbYAd5g,3,409,622
tQRpy_avRYUkky2P8J9HlQ,FRcQz8VyxuIGHGl-v_ri4Q,s4BgZ9tRRPKxjUcOJcyomA,5,657,1352
9kWMOYcUBvB8xLHIWetq9A,FRcQz8VyxuIGHGl-v_ri4Q,4Cv9G8xd8nmfqrnwPDubjQ,5,657,106
sL0DkeJ70oPmFxMxcSs_Jg,FRcQz8VyxuIGHGl-v_ri4Q,UasklH6YXUWc84xIbbfzuQ,4,657,746
hqCT6af61crvAgpbPv3V2Q,FRcQz8VyxuIGHGl-v_ri4Q,R6-3KTxBU37RB5KQDNLJCA,5,657,657
KXaH6wSuIu2Jgfde1iLAhg,FRcQz8VyxuIGHGl-v_ri4Q,vSRBBlOCvLnVW-nSjKIufA,5,657,1439
jWTycv-AmPzvlmOQQmA5ZQ,FRcQz8VyxuIGHGl-v_ri4Q,Ry2t3MCZEH6WjP5BiLHeOA,5,657,675
34lI8LUdtHsy5F0ZMVyTPA,FRcQz8VyxuIGHGl-v_ri4Q,llsbSKHnzAUPByQwzOybIA,5,657,1205
aoCW7OUwkHvEQcmXkbQWpA,FRcQz8VyxuIGHGl-v_ri4Q,-2j0CsqJasPaeAxSMOjB7g,2,657,1
DOIJUNEn98-JqtRUf1jkJg,FRcQz8VyxuIGHGl-v_ri4Q,Id0YHshPcJpC9kM2X_I1Dw,5,657,448
HIod0Dbyg9NVesr95ysNKA,FRcQz8VyxuIGHGl-v_ri4Q,duku8ZJEzJC3_E8602coqg,5,657,1006
1OzZH-kTzt_Pv67g6avcWA,FRcQz8VyxuIGHGl-v_ri4Q,tbycp0aRhRsiAVYUAVR_uQ,4,657,1397
idjaAY4j1f2a4ykeNpbtFw,FRcQz8VyxuIGHGl-v_ri4Q,GrUCjpll6wTlcEhjuabHTA,5,657,406
ZJp6b-c2vM12HtmrcE6Wrw,FRcQz8VyxuIGHGl-v_ri4Q,MIQVVYGdCbqVYrSecg2wxA,5,657,540
rkU3ILbZZilYJdXUft-Erw,FRcQz8VyxuIGHGl-v_ri4Q,9SWtEX1k9AjRg93BAzMCpg,4,657,235
KueLhHPFEQInvV2jWgas9A,8R2Gm4lsS90JG9jIYHlfeg,JlNWZ_lBYzkBMsQAqBLvCw,4,321,475
1C9cKtLmq-ylNk7LlzavfQ,8R2Gm4lsS90JG9jIYHlfeg,qlC607Cyp0Mj91vDFvkp3Q,3,321,1322
sP-Y7fmQ9ZF6OT2zSxAOUg,8R2Gm4lsS90JG9jIYHlfeg,cVX9uszVLZsERDcpa1jBwg,1,321,971
JDP7p6sIr7Yw_UBsgZraRA,8R2Gm4lsS90JG9jIYHlfeg,lwKFXEE-nhfvD-bbEWIn3w,3,321,1214
0bzQaPPEW5F895RjvBd5GQ,8R2Gm4lsS90JG9jIYHlfeg,fuoYjsuU7qy1RlCMEZ0xfA,2,321,1060
xBRcAOP4a8dReGrvoXwDZg,8R2Gm4lsS90JG9jIYHlfeg,cT0xyr130ZUpEcj8L7Hjxw,1,321,968
NaOzgQSDlGx82eHhqxmmdQ,8R2Gm4lsS90JG9jIYHlfeg,HLaSqQMDVvlcFPGJL_kGCA,1,321,417
yCPNdIBr-FbNW4elY1wQGg,8R2Gm4lsS90JG9jIYHlfeg,sgTNHoh04BaPE3xMVpFCDQ,5,321,1372
iPwJrdwSlEM7Xh-KuL8sLA,8R2Gm4lsS90JG9jIYHlfeg,op8FmScVlXFkVcqmyAlD3w,2,321,1284
U-ZVBn-taW4rpUmGDSxULQ,8R2Gm4lsS90JG9jIYHlfeg,wd3xoNaDLib8dhQ7BxUl6g,3,321,1470
1ZoCsrKu-TrM1O6zMcI9Gg,8R2Gm4lsS90JG9jIYHlfeg,Q4RsL67tkjfRclgTfTPUdA,3,321,639
M-CaBvGS4GsPMyp8sjgL-w,8R2Gm4lsS90JG9jIYHlfeg,gh9o2GA4Zwl_ARs4Qvcsgw,2,321,1075
-8dvGQzoVwCi2cmVot9HHA,8fArAA0gwfUbb3uWotd5mw,D1mTKlfTeqPInYW1yoVUdg,4,356,326
JtP7VAETJ0Lv2phAIGs83Q,8fArAA0gwfUbb3uWotd5mw,j3IF4c8CONxQPj5QLXl2yA,4,356,1125
2oyN7G1ClZBQDk0KKQ_YEw,8fArAA0gwfUbb3uWotd5mw,jEeBgdYLBPtcIyXYGQsyfw,2,356,1132
r9ZNoH8IN9LJdD6vyHicvA,8fArAA0gwfUbb3uWotd5mw,jmhG9UJAsdAn9EFjN0WaXg,4,356,1141
yYFH8o_6PaJl5hPwNf5Qpg,8fArAA0gwfUbb3uWotd5mw,tBZ8UAQFooesK_kst774ug,3,356,1384
g65r1WlEb8tRgmj372KdDA,8fArAA0gwfUbb3uWotd5mw,X3shYYweDIbtFm2bWoynSQ,4,356,812
WBr50zGU0Rj5xiue7NBhfw,8fArAA0gwfUbb3uWotd5mw,Sm-gajexsbvXF5qUMArPMw,4,356,696
3tQRIIgECP2IPqym7nziDg,8fArAA0gwfUbb3uWotd5mw,esg1J_T5nLsIjiv5HvR0Yg,5,356,1037
gYX57qjaOLKb_X_WZExxjw,8fArAA0gwfUbb3uWotd5mw,Ry2t3MCZEH6WjP5BiLHeOA,5,356,675
o87906nkRfZJWcCQoitfPw,8fArAA0gwfUbb3uWotd5mw,R6-3KTxBU37RB5KQDNLJCA,4,356,657
RL0-Adm6P9TDROKvA-3i1A,8fArAA0gwfUbb3uWotd5mw,OKhg_0_bVI32wPgCY2INbQ,4,356,600
wlppzrbBPF3CEJrkCeHaqg,8fArAA0gwfUbb3uWotd5mw,XPTWylut2jKDx2jCmMMjeQ,4,356,821
u-g2XwkPtjh1qNOYISuBLg,8fArAA0gwfUbb3uWotd5mw,cFQDeYUQXXx2iUfyOvO6ig,1,356,962
6Sxk_fWlrJo53WwigoVEfg,8fArAA0gwfUbb3uWotd5mw,5Kbn1FjXmS7Jypz3_ybt_Q,5,356,139
HCvsMjmn9AUX2CAj4NwbiQ,8fArAA0gwfUbb3uWotd5mw,LGecw2xC8UiJ58rXTPb55A,4,356,519
Bv9fQ5sAm4oRgekJ7pcqsw,8fArAA0gwfUbb3uWotd5mw,ZYZNcugF3xUEGyLOVGiZ0Q,4,356,874
n8YXVmENXCV0zKXG_QMSiA,8fArAA0gwfUbb3uWotd5mw,krK3nPLQ27BdQ2q4mZm0HA,4,356,1170
2ckEegkaInFJLV6oyK3vFw,8fArAA0gwfUbb3uWotd5mw,E5lUr8xXGzqsLAyDBMAIAQ,5,356,350
0xeYmddh6B992S9MEvsAnw,8fArAA0gwfUbb3uWotd5mw,gh_RvEPwTMj5OXp8j9uePw,3,356,1076
rxs32rxOq1KddJBmRl_0Ig,3uwz62lHoUqKXDDbwErRfQ,FahXU1Sh3otKR9AR4qsqPg,3,564,380
6qBqz5RqWNGS3JXwC0P0bw,3uwz62lHoUqKXDDbwErRfQ,uvmqOhjShM45TafnJaDMfQ,1,564,1427
JXd-XaoyCbdTrGAAEUgycg,3uwz62lHoUqKXDDbwErRfQ,GbnbFgJ1tKHJpGQO_lrOEg,3,564,398
dinA61lOFN8O9R5nItmWpw,3uwz62lHoUqKXDDbwErRfQ,aQXwvE9GXXNuc4WM1gPwpQ,3,564,912
c0oTIzY4K--po8HewpyTQQ,3uwz62lHoUqKXDDbwErRfQ,reN-Y7lIjv3VW21I4Z8WHQ,3,564,1343
rXmyF9yHS0CwwrNHjUQwDQ,3uwz62lHoUqKXDDbwErRfQ,bPMlWFFsAfYcosQz1WYaaw,3,564,937
T4nu2wO1XotOMAYLq2nRTA,3uwz62lHoUqKXDDbwErRfQ,3shnYp5XKNIAwFF_rq9QPQ,3,564,101
7RwqdArFSDP5oE6tv1FHQg,3uwz62lHoUqKXDDbwErRfQ,ruODZyqOSvgnaklyVQaE3A,4,564,1349
WJC4pSt6X9_6NokqUJb1Qw,3uwz62lHoUqKXDDbwErRfQ,4MVOsEviZF96rVi4jmZIyA,3,564,109
nFrtCTbxvgTeJ0dr-wWHLw,3uwz62lHoUqKXDDbwErRfQ,hHiKyjl5-v5CQ8zDezxwIQ,1,564,1088
zAwL0KoXlZYKkdHUQrznOA,3uwz62lHoUqKXDDbwErRfQ,GrQzEG9PlNx9DkgBvgWfaw,2,564,405
ZIZOgqgPbiqccogEWAhSKA,3uwz62lHoUqKXDDbwErRfQ,SbJ7iiOb6Sj3gaREn-JUZA,2,564,691
yspPii5mRvkN9y-r-zwY_w,3uwz62lHoUqKXDDbwErRfQ,IYeFVjmRLTSnhQcjCH_mKw,4,564,447
62C7rQ1uUobqDsFjoeYwQA,3uwz62lHoUqKXDDbwErRfQ,tEVt1z58G1IQCAlGROy9PQ,4,564,1386
QM6kReYPFP46KWVwvmGYHw,3uwz62lHoUqKXDDbwErRfQ,s3NDpuhzAfBvxkAi9CTCug,3,564,1351
Eidk4DtaPhXUNp8w0h_aDQ,7ZbjK_dmojrxoY-CBeHPeA,_F428gAdyz-jZbq-egclIg,2,428,887
7SRgP0qSN7SdnNelq4F85A,7ZbjK_dmojrxoY-CBeHPeA,ZR__aVEvCBRBHa1EvLZXww,5,428,869
T8qMRhvHhYEcdxo6136WYw,7ZbjK_dmojrxoY-CBeHPeA,TBld0yjxnopCz_faRFIuxA,5,428,705
yHSdml2SVdaC78pxZES8ZQ,7ZbjK_dmojrxoY-CBeHPeA,O4GWB7-Vya0rGMZwASzncg,4,428,596
EDix8TSDwiqfo72V65PyBw,7ZbjK_dmojrxoY-CBeHPeA,C7U4DRKX-xUEhiiHHwz6Bg,4,428,302
iiciOI3gI-Ouj-dCiGGFYA,7ZbjK_dmojrxoY-CBeHPeA,8LbHzV6Rh-6QOrD9j12TFg,3,428,204
AeNx5dAYUrI1e4yZCTVB1g,7ZbjK_dmojrxoY-CBeHPeA,d5WLqmTMvmL7-RmUDVKqqQ,3,428,983
oDmDWDA9URWcoCs5ZIstlA,7ZbjK_dmojrxoY-CBeHPeA,llsbSKHnzAUPByQwzOybIA,4,428,1205
y-qPAwpF16P7vo8jkZ758Q,7ZbjK_dmojrxoY-CBeHPeA,eLRBlTf_3oTAIOuQ4F30rw,5,428,1024
sLgoyRHNxLCtz2lp7dtSeA,7ZbjK_dmojrxoY-CBeHPeA,xXlBup5RpqucJL_ZFnt0Qw,4,428,1488
WOocjIBJOitY5JaDx-rBmA,7ZbjK_dmojrxoY-CBeHPeA,Swv1H4GQFTWQnsSEIQZ6AQ,4,428,700
hQ8JyZpT8ej9TxtVwKF0jw,7ZbjK_dmojrxoY-CBeHPeA,duku8ZJEzJC3_E8602coqg,2,428,1006
BqqsgkCPMednN92jVoXNZg,7ZbjK_dmojrxoY-CBeHPeA,yMiikE7cpVyVLDnJRClLfg,5,428,1501
N_3fck7DMfA2WN6VLy4AHw,7ZbjK_dmojrxoY-CBeHPeA,bez3i2gcPjHwPkGblDa_DQ,5,428,945
xMqiT3_I9t_4FMNR4hImcw,7ZbjK_dmojrxoY-CBeHPeA,4RptW32AaMcCzEArZjjitw,5,428,111
uO8uYjixxrV0WjjY7aqqIg,7ZbjK_dmojrxoY-CBeHPeA,Zi9IlM9rbeSjxAJX43MsXQ,4,428,877
