review_id,business_id,user_id,stars,int_b_id,int_u_id
KBFmFlU8LcRiy3CjSkZ2nA,1cRvhC7shC6UneMqRYm4yg,7yU76bRb0HuPVWeTTCQ_ig,3,587,264
mr0H_WISS8p9q0l3SoRg3A,1cRvhC7shC6UneMqRYm4yg,cB4YGv6Yg3IYXAIjwpdl1Q,4,587,1087
aQD2qauQiiUPk9DaqkiB3Q,1cRvhC7shC6UneMqRYm4yg,1ViT_LzrNbbrheWgIvT5Tw,4,587,81
Zy_fiL3rWIUXbl4NM7Exiw,1cRvhC7shC6UneMqRYm4yg,rXKjMIo0jVFmUfaqCqDs0Q,3,587,1531
G83xn2o2j0LgESWrgdpB9g,1cRvhC7shC6UneMqRYm4yg,xEzPJcx5Ny6NLm0p974dJA,3,587,1695
KifzGeEmwlcsNOiX6ALdOA,1cRvhC7shC6UneMqRYm4yg,8ptxwJ0c2pY0aQ6PqSBUBQ,4,587,283
_VVQm47QIpY66WtBaX5I5A,1cRvhC7shC6UneMqRYm4yg,3AxAep0OMmy_LgidsYMdog,5,587,125
WdmVjicj90ptIp7vxIV4dg,1cRvhC7shC6UneMqRYm4yg,pEzb9RfmnD2zn5wUPpdmzg,4,587,1459
RCk3gRx1jTaFcnreEDltrQ,1cRvhC7shC6UneMqRYm4yg,Gw4UiyZjER7GuyGbwSRIQw,4,587,504
YK3e6IHic7GcjXNd04cBEQ,1cRvhC7shC6UneMqRYm4yg,-5ohKzWWOzAG1M1OtcoPgQ,4,587,1
Jc4eZT2vZYCaZ3tNUryTEA,1cRvhC7shC6UneMqRYm4yg,wMMpgxsQ5SdYEZXJzf6Mjw,4,587,1659
HiIauH34GjZA30XS630-pA,1cRvhC7shC6UneMqRYm4yg,CwUvSaeItqpFCDh0jHaNuQ,3,587,403
N694JREpB8KsOfiP9ZPjnA,1cRvhC7shC6UneMqRYm4yg,7RcgjZLzBqEfTLAH6rQtRQ,4,587,251
an5_9H2Cu3u1VrKh8RAHyQ,1cRvhC7shC6UneMqRYm4yg,-TY8OmgqWG9i2xlgEhr8pA,4,587,21
kkw1rB_Knd3qzwUwyGk1RQ,6I6uDGwCDggrWXi2T4lfaA,5bYYUh8fqOOxJQwQotrkaw,3,666,196
j21CQ7UySYPMh2vjOMe1eg,6I6uDGwCDggrWXi2T4lfaA,oRtFHQya_MgpWjlLIRjM1w,4,666,1431
TxwlMGOwmwyS_al8RFis2Q,6I6uDGwCDggrWXi2T4lfaA,cqgjW23FJyu5kFlRDN1CpQ,4,666,1112
C_LGhndmEli9KFneWLTdWw,6I6uDGwCDggrWXi2T4lfaA,25Atk9HXBhk_dJiCsBTzdw,4,666,100
I4Q1E-JsKi6bZ2A9S0WsKw,6I6uDGwCDggrWXi2T4lfaA,3vGiPNH4yCAj88-kfdvbjw,3,666,144
BtDgFaEUleU4iYjvlywQjA,6I6uDGwCDggrWXi2T4lfaA,XK5NeMRDrwqSa9XQIWyskA,4,666,930
oNiP4HAfywNHG6IdA34oyA,6I6uDGwCDggrWXi2T4lfaA,24vj4bxao3cfDWXAq4zpbw,2,666,99
sqv5S-apxJtDjEM3OYrI3A,6I6uDGwCDggrWXi2T4lfaA,nkXLM_2gga9WN_RfwuvDNA,5,666,1410
luUEwrwB-QAKD-vR8usXPg,6I6uDGwCDggrWXi2T4lfaA,3mtMXh05NnMRwJeS6BfOHA,4,666,141
Xive3Yv3QGAgNqIz_x9LBw,6I6uDGwCDggrWXi2T4lfaA,P-qkBhjs4mkSE5JC-wTwOA,1,666,703
KNAq-AoIT71_Cwci1ovNLQ,6I6uDGwCDggrWXi2T4lfaA,sFJjEc7ytSUV28Y7PpdMjQ,3,666,1549
E2Kc_fQf-tZo6rgQhr8NBQ,6I6uDGwCDggrWXi2T4lfaA,wwPSdOrW0jVNgzr8whD0Jw,4,666,1679
qC75rut3Jbh4L6RVUT6fsQ,6I6uDGwCDggrWXi2T4lfaA,zIOxNinC6ofIwwGjO9rUWg,3,666,1747
_I6gpcJm62oA0ThCwJUoBg,6I6uDGwCDggrWXi2T4lfaA,Drr9IQ_VnB-8yiUyt-jBPw,2,666,420
FYv_9TZdb4BsuNJEwxGt0Q,6I6uDGwCDggrWXi2T4lfaA,6-1XSOw9dZ1KTbzCnSXC_w,3,666,208
ryuerIVmuC5g-Qi07RgF1Q,3ZvJhWfPxxFvdL8BYz5mKg,3vGiPNH4yCAj88-kfdvbjw,2,397,144
J0ciT1LSsJNXQkJPnYllbA,3ZvJhWfPxxFvdL8BYz5mKg,muFEehJQ-NYC1WrIuow5GQ,4,397,1385
f1amm_1ONAIq8lQVzqskUQ,3ZvJhWfPxxFvdL8BYz5mKg,-y8mv6-8C-IJWsy00EWAfA,3,397,33
gIUfx_NSMxNnHRrh9bv4Cg,3ZvJhWfPxxFvdL8BYz5mKg,cqagyVkvbBB32agnJsIhVA,2,397,1110
DBLloPrFQjaKCKSush3NbQ,3ZvJhWfPxxFvdL8BYz5mKg,cB4YGv6Yg3IYXAIjwpdl1Q,3,397,1087
rTucTH9HFO7n5casEWf3NA,3ZvJhWfPxxFvdL8BYz5mKg,S_5WK1du4bLY9dlEY1PzMw,3,397,798
wyRemCXSLTMezSjGBaABKw,3ZvJhWfPxxFvdL8BYz5mKg,mLmgtTwuryDjJAQrSZ_w5w,3,397,1372
bgYKDNe9nBWmSNJlhK9H7Q,3ZvJhWfPxxFvdL8BYz5mKg,2oECCr5gLDhEIF1_eLc3cw,3,397,117
NkZf3OYK1RPegdgmAoKMsA,3ZvJhWfPxxFvdL8BYz5mKg,Vav-GApWFEVD5wGyKoXRVw,4,397,879
YKmbQXXoosIyzRnvI2lQgg,3ZvJhWfPxxFvdL8BYz5mKg,_weyOTpGJI9lr8FQk-6KPQ,2,397,1024
Hi5AT37hpt9lXDSEE-tcPg,3ZvJhWfPxxFvdL8BYz5mKg,6eYecZI0cGbSdVP33PawDA,3,397,227
f0B0MXURM1G8mV2z8JMUUA,3ZvJhWfPxxFvdL8BYz5mKg,-TY8OmgqWG9i2xlgEhr8pA,2,397,21
qxLql-Z80SBC3mtOz9znhQ,3ZvJhWfPxxFvdL8BYz5mKg,0V44Yx8pIOt_acaWixmW2Q,3,397,47
5PmJHeL9v6iAGx5_ZeIBQg,03jZx8QkMxNhaRLeo6_U0Q,0qUQHSgDJ1SYBix9J28Wrw,3,1010,57
CkTnbOb0VavYRDqnNuKw-A,03jZx8QkMxNhaRLeo6_U0Q,MI3wG3R12sQuTGdNvBBX3A,1,1010,628
TxIYNnA320TN_8YnohrI0Q,03jZx8QkMxNhaRLeo6_U0Q,6MM9Yqn7UBM8tmpSHQHAAg,4,1010,218
TX4RUxgyk8TSySz7DmAB9g,03jZx8QkMxNhaRLeo6_U0Q,aomkMAGFrL-gD6cqQjB4bw,4,1010,1048
Cudcv44G9QiievnTVGsf-g,03jZx8QkMxNhaRLeo6_U0Q,Y1EZfFc8ge_jJShEoG_brA,3,1010,949
2Togqr8-hPto_HPa6iO6mg,03jZx8QkMxNhaRLeo6_U0Q,r1WfF83sPjX4VtmuJH-v3w,4,1010,1514
MbwwO7T0P4YEUO1tubOAKg,03jZx8QkMxNhaRLeo6_U0Q,z_JNWGXvxdrukAQwgsU9vA,4,1010,1761
1D_a888xrWrxV9H1h_Cjhg,03jZx8QkMxNhaRLeo6_U0Q,HqFC9SrRzvzmAUMgQ4wmHg,2,1010,526
z7vdBmG8MRPZPOJz5CRDeA,03jZx8QkMxNhaRLeo6_U0Q,9kLPuapKfGjF6ipVSqIuSQ,4,1010,307
9WGcDsZNzDbAQtaMC5NN2g,03jZx8QkMxNhaRLeo6_U0Q,mr52dL8Vw8tcTrfB23ykKg,2,1010,1383
qgWiCl0ZbCCmTi_9tPXbFw,7q2GyT57Mg0QZGWW2g_SGg,VYXa-WYWq8FaIUk_z1yj4A,5,799,877
D8-w9BhPS8LHzWuH4WrUpw,7q2GyT57Mg0QZGWW2g_SGg,cqgjW23FJyu5kFlRDN1CpQ,5,799,1112
Td8U8KWTmS3p3Ah3XM3s5A,7q2GyT57Mg0QZGWW2g_SGg,Wj-1G4qcyo1dcqIjhnpL8w,4,799,916
w4-imJ-99tIcZJ1pqOiVvg,7q2GyT57Mg0QZGWW2g_SGg,3uWCWMWcrn8YSH_qBvlr6w,5,799,143
SvHmjkeN7yROLSnTDjH1Qw,7q2GyT57Mg0QZGWW2g_SGg,6MM9Yqn7UBM8tmpSHQHAAg,3,799,218
RA_uSmzFtVqW0hp5TWKK4g,7q2GyT57Mg0QZGWW2g_SGg,oqrkET25-S3LZK7OMuOUyg,4,799,1447
cRMM1QtaX-ZyqOXXVbLlnw,7q2GyT57Mg0QZGWW2g_SGg,P8hKMc73rWhEnXNV-qA7DA,4,799,708
uoDYbpLnGBbwdqRJdbIk8g,7q2GyT57Mg0QZGWW2g_SGg,Rgpxl8b2F1W5JaMfEPw5uA,3,799,773
VZm_E29Okqyfd0Len3Y8FA,7q2GyT57Mg0QZGWW2g_SGg,oS-NBhuWYOGeDyVHKSIwDA,5,799,1433
QgP2kWgRH0XI0TtSYEjeRQ,7q2GyT57Mg0QZGWW2g_SGg,aomkMAGFrL-gD6cqQjB4bw,5,799,1048
RKp1uOJilx7BZxic60hvFA,7q2GyT57Mg0QZGWW2g_SGg,sKVpHfhkG_Nvgf_Vfb91Cg,3,799,1550
gCgdI0BtdLhWo2KHmkDuAg,7q2GyT57Mg0QZGWW2g_SGg,pEzb9RfmnD2zn5wUPpdmzg,4,799,1459
19dbctHiRic7abO6k8ox3g,7q2GyT57Mg0QZGWW2g_SGg,kW4fxtnM7anSBw39se9ivg,3,799,1325
oUslqkhfhI37_lxZrCIAwg,7q2GyT57Mg0QZGWW2g_SGg,aYL7qtwOMdzYayaddq_Hnw,4,799,1041
CFgGOfmGJffcTzyKBy2Z8w,7q2GyT57Mg0QZGWW2g_SGg,hv2FYLSr351y_XhXRXlmuQ,5,799,1251
Gf6N7Q7259zH09mVdW4diA,DnJ5i7-SZRJ6X5ZGWCI36Q,mbIkgZKxDw0E3S7jDkm5mA,3,89,1378
7qHPACMnM0Hjfc9x-aBuiQ,DnJ5i7-SZRJ6X5ZGWCI36Q,LrsX8ioOG6GEIHfsXI_9GA,4,89,617
6YPxUs9esdf7kwpbxfYCvw,DnJ5i7-SZRJ6X5ZGWCI36Q,bG2dLL-UvHZeuW1LTahvsw,4,89,1062
_eHIwt_BcAgOCqO8hwPoRA,DnJ5i7-SZRJ6X5ZGWCI36Q,Wc5L6iuvSNF5WGBlqIO8nw,4,89,913
aXYUVfpeTcR_KwgMLlm0sw,DnJ5i7-SZRJ6X5ZGWCI36Q,ENAjhTDXb3IK5WHRINkFrQ,2,89,433
pkxV94Hyi4A1ss7dbOy0Kg,DnJ5i7-SZRJ6X5ZGWCI36Q,MPKLiZbw8Vwc9IqfvC1Xig,5,89,633
FoMpL9yoZnj03J9X28_Y_A,DnJ5i7-SZRJ6X5ZGWCI36Q,Q3g66iHQ0Mg7dRsiP1P8vg,5,89,733
uxWhChRdoFNHQp8t8M-i4A,DnJ5i7-SZRJ6X5ZGWCI36Q,yR7c002FKAnehKj3rtexEw,4,89,1721
-77LB-VCn5B8aemRglg--Q,DnJ5i7-SZRJ6X5ZGWCI36Q,xO3EIJR0QNzM3CdajinWtw,3,89,1697
0KrrCdzTKUUdYSqqbHirig,DnJ5i7-SZRJ6X5ZGWCI36Q,goD_IMLQNEm8TrzpR_vtTg,4,89,1218
ZESx3gw0zxY7kJhAOUbhBQ,DnJ5i7-SZRJ6X5ZGWCI36Q,cqagyVkvbBB32agnJsIhVA,3,89,1110
LkP9B0KZBsMCHOSL_sGVWA,DnJ5i7-SZRJ6X5ZGWCI36Q,6MM9Yqn7UBM8tmpSHQHAAg,4,89,218
F_WiqSqUdaVTXYdt953wEQ,DnJ5i7-SZRJ6X5ZGWCI36Q,4ONcRRisDZkbV1cviA7nFw,5,89,156
Sz3_EMzccg89I7BWj3JE5w,DnJ5i7-SZRJ6X5ZGWCI36Q,wregZkyJ3efquMrnrgqGQw,4,89,1675
9uMSEx0oa9JO5nH4EiEssQ,DnJ5i7-SZRJ6X5ZGWCI36Q,xOWQnTJjdgkYTi-3nbjbgg,4,89,1698
IhLQyW2Y5pdRUQOae5tZJQ,DnJ5i7-SZRJ6X5ZGWCI36Q,pEzb9RfmnD2zn5wUPpdmzg,3,89,1459
kFZOfy8dKF3KokwygNar1w,DnJ5i7-SZRJ6X5ZGWCI36Q,_weyOTpGJI9lr8FQk-6KPQ,4,89,1024
HgZAp_eD7fDoAkOd6IDWdQ,DnJ5i7-SZRJ6X5ZGWCI36Q,seR0RklSV0nbfXv31LtSxg,4,89,1562
MSxQa0VU3czqQMzxk-cX_Q,DnJ5i7-SZRJ6X5ZGWCI36Q,NaW6r6e2dwXSv5qLrL7ZkQ,3,89,667
ixe6NcMiTWCFa5MW3a6wog,DnJ5i7-SZRJ6X5ZGWCI36Q,zIOxNinC6ofIwwGjO9rUWg,3,89,1747
fzEbHufNjoDOEW24ptdfUw,DnJ5i7-SZRJ6X5ZGWCI36Q,pjyiGFo8GNQ4YvcukxbOug,3,89,1475
H6PD5S8a_BUva35-neNQtw,DnJ5i7-SZRJ6X5ZGWCI36Q,kW4fxtnM7anSBw39se9ivg,1,89,1325
EWXnhVmPHWB3F1DRaZ9P9Q,DnJ5i7-SZRJ6X5ZGWCI36Q,UDFIZXP0kOb2xKoYToTS6w,4,89,844
bbMYL7jQ3Ip3Ho_4YpHDgg,DnJ5i7-SZRJ6X5ZGWCI36Q,ZkZD0czM-rDP8fvGCtuhCw,1,89,1003
SqYmvnKER3b9vitqrVMHCw,DnJ5i7-SZRJ6X5ZGWCI36Q,T-4jMCwgOr2Gi22tHPTJyQ,3,89,810
U5VZcRigo7nsDXt47yTYcQ,DnJ5i7-SZRJ6X5ZGWCI36Q,CgWWnLS1JuY-IFlULUVowQ,2,89,394
oZnYnYQVt0u8UHXuz4aRKw,DnJ5i7-SZRJ6X5ZGWCI36Q,KcFMI-hsr2Em7whfI4OM5g,4,89,591
qEtcvWlS5QrKTg1lVxo-gw,DnJ5i7-SZRJ6X5ZGWCI36Q,zfOhqMhgOoSBNlpFy9ErVA,3,89,1764
c6WDuAmGrDFn7rf64MgFYg,DnJ5i7-SZRJ6X5ZGWCI36Q,-oMzx1o-o62e5tcBmomcng,5,89,30
v2cc8FTrkW4RQTlcTxNp-Q,HoCE5Opty4FWYoUWVbv6VA,Wc5L6iuvSNF5WGBlqIO8nw,5,981,913
Sk9hYLlWDYLOZhZnYHvlCw,HoCE5Opty4FWYoUWVbv6VA,OP7nO0dIaYW0O6DYX8-azQ,1,981,692
yZeyNWpmXgWUkfskTn42Gg,HoCE5Opty4FWYoUWVbv6VA,175HdA_nJxsR42steUiIXg,2,981,66
H6Pk_--05ZbAtySHPKntOw,HoCE5Opty4FWYoUWVbv6VA,JKQmuH6PKCDXpeZYK3BmnQ,5,981,553
1igfNxTEeQeSgct3aGIW9w,HoCE5Opty4FWYoUWVbv6VA,KGPPQsnPBJpUxCXBVuSpEw,4,981,580
icEJdgkmgMuqnD7TxZeAjQ,HoCE5Opty4FWYoUWVbv6VA,sFJjEc7ytSUV28Y7PpdMjQ,5,981,1549
16c7bSeyqNutHZUiMPNTeQ,HoCE5Opty4FWYoUWVbv6VA,6MM9Yqn7UBM8tmpSHQHAAg,4,981,218
rUSz3DgapsrwY7-y9qcGVw,HoCE5Opty4FWYoUWVbv6VA,VZUHcHoSYtn8mKq31hAM-g,3,981,878
b96ZAUy5qZxmJP4HbluKuA,HoCE5Opty4FWYoUWVbv6VA,UDFIZXP0kOb2xKoYToTS6w,4,981,844
2s39N_GApr6Ddx3heSn1Mw,HoCE5Opty4FWYoUWVbv6VA,41kMyI1BfOTyIIAenUSaTQ,4,981,147
W2pH_Vbng7WRO6Xhein4Aw,HoCE5Opty4FWYoUWVbv6VA,RMopAcH2eoiOuPkStfg_YQ,5,981,761
lRR1FPKInLTPA5aKbW01ZA,3cu4pGmmMf-ZSL69nP1lKQ,VYXa-WYWq8FaIUk_z1yj4A,5,1073,877
sGF7z6YAieYwDpNynFNAhw,3cu4pGmmMf-ZSL69nP1lKQ,iJs63-OOhaD2JvDOJcA4Lg,4,1073,1261
Nd95AACYSCENmxSZUjs4kQ,3cu4pGmmMf-ZSL69nP1lKQ,Wj-1G4qcyo1dcqIjhnpL8w,3,1073,916
wN65w_r4Kf315boQvSKqxg,3cu4pGmmMf-ZSL69nP1lKQ,6YPfM_xcWZM4GjBvGvL8Mg,1,1073,223
nvuMpmUaVPPucg1QShd2Uw,3cu4pGmmMf-ZSL69nP1lKQ,2fyQJjfUqVHganmu2V6ZZg,5,1073,114
yyT_ge6Pi27aD0eBfV2mJg,3cu4pGmmMf-ZSL69nP1lKQ,Pf2lMKHB8Gb5OUxVjMkRTw,4,1073,724
NlYeivuICpdfLZOwyiS3Hw,3cu4pGmmMf-ZSL69nP1lKQ,Afo2N4GUlYsmYM9KcbW7IQ,4,1073,335
uqUozy8iIGeaYIfS-5cPlw,3cu4pGmmMf-ZSL69nP1lKQ,-y8mv6-8C-IJWsy00EWAfA,3,1073,33
NG7oQAzmRbRA669VQKyCng,3cu4pGmmMf-ZSL69nP1lKQ,MQq_1AlcDWsyNs7Ot8J4OQ,4,1073,634
ivu0bly9qhM5NqRVF1T2BQ,3cu4pGmmMf-ZSL69nP1lKQ,6kKDExX4EyjMgVDIXHynrg,5,1073,233
IZgrGWxn6qF84H0FDc0mfA,3cu4pGmmMf-ZSL69nP1lKQ,mLmgtTwuryDjJAQrSZ_w5w,2,1073,1372
dqkIwLLHtPqJlASy64lFxQ,3cu4pGmmMf-ZSL69nP1lKQ,tC7nLzxFoBJFQQU3BEtJlg,5,1073,1581
tH2qI6aZBjK2VCm8oJ-qjQ,3cu4pGmmMf-ZSL69nP1lKQ,xuuKsPQqXMUi-7WhtzOSAA,4,1073,1709
SUNqAOGVCzzOpApOlxlEDg,3cu4pGmmMf-ZSL69nP1lKQ,88PdihQ-Rx8QEDwQFyR0uw,3,1073,268
gppxwO59Gq3bK1l2A-4YkQ,3cu4pGmmMf-ZSL69nP1lKQ,TlSKUk9Jz-AY_gq5DTOZAg,2,1073,833
9pkRqvIRUoDEUiwwBOjVUA,I3UkP4Mmp0cmfe3vTev0jw,Wc5L6iuvSNF5WGBlqIO8nw,3,602,913
QOwIMhc5iw1qg742802Jmw,I3UkP4Mmp0cmfe3vTev0jw,Bl98NAmKPvCRi-Z5U2atWA,4,602,367
vW4S2tSVedKhG0r66PXaFw,I3UkP4Mmp0cmfe3vTev0jw,BSVThVjjFaF5orzkW7Of7Q,2,602,359
W2MxEaRRq6UG4c_93-WM2A,I3UkP4Mmp0cmfe3vTev0jw,fZTaIArM32QD9xv0F-Nj5A,5,602,1179
wuOg1lszM90vRTxNRfDIWg,I3UkP4Mmp0cmfe3vTev0jw,GkbaBeSGvt-UmIcefpEARA,3,602,497
Glu1bvCNuJFQ3g3EtzFrqA,I3UkP4Mmp0cmfe3vTev0jw,dw-JRbJxIanXD47zwCISrw,5,602,1137
9LS-Tjd56VmTeZ0MsYp8Rw,I3UkP4Mmp0cmfe3vTev0jw,Zoec9wehLFa8CV1JnCCVug,1,602,1005
xnZwrvQaUc-tVhXvNupPHA,I3UkP4Mmp0cmfe3vTev0jw,xRYvFaMGWsvKcLCFtRIzWQ,4,602,1701
JWQiI--hY1-ydMDMuzgZHA,I3UkP4Mmp0cmfe3vTev0jw,wAapkfuOdtIMajbFotOY5Q,1,602,1656
afYlljOYlBjpJjroAcV_zQ,I3UkP4Mmp0cmfe3vTev0jw,rxmLZPW5ATGo4y-FFXLTXA,4,602,1542
p5M-P8mjSAqFd2I4HHbEXA,I3UkP4Mmp0cmfe3vTev0jw,8D8mjeNaJ3DGhl0WX8copA,3,602,270
TIYgnDzezfeEnVeu9jHeEw,I3UkP4Mmp0cmfe3vTev0jw,Drr9IQ_VnB-8yiUyt-jBPw,4,602,420
n96R4KDQWIcR8Y2WYkLCaQ,I3UkP4Mmp0cmfe3vTev0jw,CebjpVd3PsofCgotWp60pg,3,602,392
_TZ-2p3MNOmr0Ev8GxrQww,I3UkP4Mmp0cmfe3vTev0jw,GEN4VPXjzPxH2r6br-TftQ,3,602,484
a-C0KB-gpSfzm8hLkCNdow,I3UkP4Mmp0cmfe3vTev0jw,06ileEKtKsGrY_MDzdxt6Q,5,602,37
EcT4FVzBBiJFnjLlyhAGVw,I3UkP4Mmp0cmfe3vTev0jw,i7dva-DqwjyAtLVc2idhNA,1,602,1258
j1s7Q247boUP5ljfT5-z7w,I3UkP4Mmp0cmfe3vTev0jw,W7rNiyDjfTPL60vRTlA4nw,2,602,895
i6epPM0oKqgZvZ0K58YetA,I3UkP4Mmp0cmfe3vTev0jw,FQo8HxOxlhMgDQod9NwfHQ,1,602,462
dFL1dqA20j6itTaVDm3_8Q,I3UkP4Mmp0cmfe3vTev0jw,RMopAcH2eoiOuPkStfg_YQ,1,602,761
pKfXfmorrtDNQDQ7XSWS4g,LDMzekefCl0g2WNybJG86g,yg7uGgGwgOomNkcVWYU1Xw,1,165,1731
qUdvKOSjZOa3vqNdMa_aGw,LDMzekefCl0g2WNybJG86g,h1UcaSPIPpQqMiWf12Csqw,1,165,1223
8mWXzF2Q_BLXN-lULT7hIw,LDMzekefCl0g2WNybJG86g,Iov4kDL9SAQhcBLGwCLY_A,3,165,546
Yy_EHAJEXWNbSwkJIhzuSA,LDMzekefCl0g2WNybJG86g,U95wccXN_J8JwA5Ktlu8tw,1,165,841
7iWOL8K-YyezMoJjX29Z7A,LDMzekefCl0g2WNybJG86g,3vGiPNH4yCAj88-kfdvbjw,4,165,144
HNl1DMkrsaqdfkF3KskjYA,LDMzekefCl0g2WNybJG86g,cUKuQRcr7Ln6GwDZrRHdwg,4,165,1100
raFU_1tyKit-xR_ztaPB0g,LDMzekefCl0g2WNybJG86g,cqagyVkvbBB32agnJsIhVA,3,165,1110
rYB8-Sy4V6M82XHPmEAu9A,LDMzekefCl0g2WNybJG86g,E_Ts8j758tpiAZknHR7k4g,4,165,441
URVwX64g_wedpkLlNGmdEA,LDMzekefCl0g2WNybJG86g,JKQmuH6PKCDXpeZYK3BmnQ,3,165,553
lTndJYTWlg1FhS2a7i8TAg,LDMzekefCl0g2WNybJG86g,Q-C4mgp4_tbf1WJ9XgPkYA,3,165,732
hZNZHNAjG0o6EuXRo9N-ZA,LDMzekefCl0g2WNybJG86g,uIB8qFzG5E3PUGfiCiUmqg,4,165,1606
C3vSRXSfQ3Jfgpp9waeAXg,LDMzekefCl0g2WNybJG86g,iqWpg6vfJc36OC14_FN5KQ,3,165,1278
dv6fl7E0gubywIcdkh0hoA,LDMzekefCl0g2WNybJG86g,NLC1rzNnRe4zFRmI6WmioQ,2,165,661
dkfdbPVLfJ_qjmaEh0T1Uw,LDMzekefCl0g2WNybJG86g,UDFIZXP0kOb2xKoYToTS6w,3,165,844
z4v9qNThN4G1LDunH7x8iA,LDMzekefCl0g2WNybJG86g,pv6iucL4vcT4Bm69nd477g,1,165,1482
saACE-Q9Gfy4UmT9SuG2lg,LDMzekefCl0g2WNybJG86g,ZQ6SaWr3BS6YRNZp8A305A,2,165,996
bkljRUbPOF9TvzdZJmyghQ,-AgfhwHOYrsPKt-_xV_Ipg,-KpEgEen1tj-jdjIS7uVOw,3,1027,13
6266Iis_SNKpk5aHWzmh0A,-AgfhwHOYrsPKt-_xV_Ipg,ILe3tzgnbGSaZfpArtJdjA,3,1027,537
0EBX8KPaN8prhbx3P50Z_A,-AgfhwHOYrsPKt-_xV_Ipg,MQq_1AlcDWsyNs7Ot8J4OQ,4,1027,634
DwmOoMCkd0DponPJPypL7A,-AgfhwHOYrsPKt-_xV_Ipg,rXKjMIo0jVFmUfaqCqDs0Q,3,1027,1531
DBm0S_UQNEl97mKG0-pVJw,-AgfhwHOYrsPKt-_xV_Ipg,w9ylLmBCzlAh-xYj7LPC1Q,3,1027,1655
