user_id,int_u_id,latent_1,n_reviews
--amZ_cR9Zgu4B1RrAHJyA,0,1.7976119555264702,10
-0S_XaK3Q_Mesal2Unta2w,1,1.3972425616070474,21
-0x2ov-qcCopv32Imm-TYg,2,1.874685503746717,13
-2fuzz5NgendBLbd3JptyA,3,0.9305443554615863,5
-2p_A5675Eh6gcZIGkf2Yw,4,1.6518248960012152,11
-3aeOKu1ph9ZQ7dhCD802A,5,1.3041208396998785,10
-3s52C4zL_DHRK0ULG6qtg,6,0.996378305332251,7
-4VsgXM9Rg8Hh91VDG68hA,7,1.2850586926791823,10
-6TGxmTFJBWVx9E7oLcerw,8,1.6252001290843405,17
-6gw8AR7FHcy5TYnBM3wdA,9,1.5901625515681705,11
-822bzeF5x6uOKSuTDgabA,10,1.1090881010762499,9
-Ai7hGpJ2I-oOwLFYbx58Q,11,1.4168055803800808,18
-AtFNwiaXnT71IjTUPWb_g,12,1.6367632727750636,11
-Fp8-2bo_bcwyy3GmgWt3g,13,1.7949552599870067,11
-FvAXkUnOJaUBzvDYgxqMQ,14,1.9220572294671872,21
-HLE-x7Lpkfprd6er-JFGg,15,1.189712347774417,72
-KClFfe3QFxQW1WGhPsbeA,16,1.6254675095665054,24
-M6VlkXRl-QZVO9LR9VvfA,17,1.4016571619559375,8
-MGPNimXk0IIfP1XpGaDFw,18,1.1401156417166396,9
-N8nTmkHCtHgxeXTRbKEyg,19,2.0118875159664067,8
-NycZLw5rPxqwrkKKI-83w,20,1.3561478181218385,51
-OvPeDVhr4wWK00G_GQBMA,21,1.3746813385034946,13
-PDKvO_8Q82WcWoHuqObEw,22,1.637642702349406,9
-R3Liu8xDWu-VpWSW8YlKA,23,1.6158108072017727,12
-R9FSW5aUfJP0-1TWvTyIQ,24,1.6069619027014999,13
-RSW2tZMqa-SLrP-Uu0SLg,25,1.6579670839084923,13
-S1dz92Q3RPfHomiqEeP8Q,26,1.4283331965967276,27
-UPUYET3Pwm99zq-uHl7gg,27,1.6737069341721937,40
-UsqBygSimY0lDEmMvegkw,28,1.4404130655773835,23
-Vgqot-i8NzNDdIpLlcIuQ,29,1.4441719812206926,8
-WKjn01_qaRxln2ChXU4FA,30,1.5251306297971892,21
-WjRWYod1Eo2I2CFabl-cA,31,1.5425334012434737,6
-X-v4KcThLnRluqqS3hWdQ,32,1.72539024193803,11
-XE-2bb0bSPKMUfXZPgOqQ,33,1.3176533710080154,31
-XRfPREJYz4VR8hDW3guLA,34,1.194377466233216,5
-ZamWX626lcEUCzGEzofTw,35,2.055332727389325,5
-_IaIslZ9iC4rLlJKMHKUg,36,1.4491919712188244,8
-cbyeeELqS0YdOLSEhUKEw,37,1.5820893254449908,11
-dErbI4sHSkRz6oxjy9L3g,38,1.5207131799615934,25
-iNCV7pvlCLrKy5whcUaAQ,39,1.737136291773312,11
-jCNrky1-s4ZNIDeFL3C4w,40,1.2646804510857987,29
-kMn9KvDYmTMeroUf3nVfg,41,1.4670120789648657,31
-oBbqhxmSr-9Bo5dvHF9iQ,42,0.97134131415656,5
-pHNBFKqwSnUK7545CNLbQ,43,1.0269197150134919,18
-qvT_R8tMwqx1FYsi4BkfQ,44,1.6020008147054379,46
-tGhDZ-oRns2Ufal7QF3uA,45,1.7167405467038466,8
-v_Y8Rnh6S1lLdfAKhZ4yQ,46,1.7250110447058038,12
-wYnwsNf8Lpw8UlY0ALApQ,47,1.4129953516922102,25
-x5EfjCVUxGX1NGbDabglw,48,1.1094936991096385,11
053aQFXEOtkE0i9ettIbEw,49,1.7690846181844981,9
07dMu2RDPiGdlZHykjjyzw,50,1.629857506715278,16
09jpZrKD_j0SG9WPBDSJQg,51,1.5385096066632564,71
0B5KvqcoUBL0Rf2WTckiqw,52,1.568315805017512,8
0E66Uadi3veYxkE1IeTZHQ,53,1.5852521375939608,5
0FWG9QzrOi3C0PYeTDfyiw,54,1.705827739335705,10
0G-bcpdR48tfZy6koGUiTQ,55,1.683791204128846,6
0GmFzZuAMSepN-SQNfZryA,56,1.5286425161318173,7
0GxKcZqhtzBbhHsTpcv1cg,57,1.6259865092114405,10
0HPh7XAC3E6Avo00vbx0iQ,58,1.6674414051644788,23
0HicMOOs-M_gl2eO-zES4Q,59,1.5332197835031596,12
0I9NYzozlJoz1n82qcgNHw,60,1.5940918468408887,18
0JtR3uNVD0q69WRnIBDD2Q,61,1.5739876885775719,15
0KWgD0VqYKfivdzFZoQ3BA,62,1.7758685008793116,8
