user_id,int_u_id,latent_1,n_reviews
-24Yo5J2MvjL685lPpQWjw,0,1.7223541085394247,32
-2j0CsqJasPaeAxSMOjB7g,1,1.273039155286648,9
-8BrIcsVPbGhv6EAEqbBfA,2,1.6336427294790767,11
-9gZqyvOZWxqvvbuyDxTsg,3,1.3087517893022105,19
-Cus770i5pweQ4-tUOeRwA,4,1.504994644114743,13
-FTUBSOFcZuSWIlel8JhAw,5,1.3733236217667018,6
-I2zxOepMPkilVe24hvWnQ,6,1.6485697350311699,4
-JY5vq7GgUFam5qPPHDXCw,7,1.661130793157511,17
-MUlkZydqw3_-ODWuZR-KQ,8,1.4663456220964926,19
-MiqLJ9ayFSM0AcoGG_SrA,9,1.3946010822244543,10
-N1rDtpUIHpjrEujRyzVKA,10,1.7543579592669742,13
-PTtMZYVawqKC6-vIds9lQ,11,1.6024217691255445,65
-RjYePE-oM-XWXeGRYpUDg,12,1.4727897593639623,18
-WMhXcdzVV-o3PN06-yzRA,13,1.6823802384530933,43
-XM94NttmJuZZQGXjr_F4g,14,1.638671543446266,27
-Zj7AybUs0qnG5qDZ4E9Hw,15,1.4936127340275922,23
-ZxmTnsk_A9SL-hwXDXUCQ,16,1.8133915685712443,6
-_9Ev311DCOpBa32w5_8hA,17,0.8774264648694525,5
-elzE0bhI1c4Sl94OMHPNA,18,1.3061956831852355,21
-f1gjVNccrJ_XhyGWhpM-g,19,1.3656670809904883,9
-hAhDGFc9Gr6gPB1d0OzUQ,20,1.5257640506662191,15
-r4cyHYKphAP55i2-9eyVA,21,1.6900465389029042,12
-zGEDBMBy_mMTP3dAJpK0w,22,1.498428602667689,7
-zKjaln53XYxz595G31fRg,23,1.414869425145282,16
01HpNrCSLNWbQG9Fv3c4Pw,24,1.7052698033909641,17
090IEK67Onc4E3_IN9TlCw,25,1.6872676939247226,12
09QcQYf_t1NEq_AkjJuABA,26,1.655484863744854,33
0CqXhUcVhSHvqxroBz6EZA,27,1.598544329676061,17
0Elx-rndWG22HVdcz7FV0A,28,1.416529346596722,9
0J5cEzer2y362mIKzyBpiA,29,1.8924148644048835,12
0Q7OmOujNQJhnjm-yynUHw,30,1.3044326886913904,4
0RmBe3_3nXLE6bGiC8FvGA,31,1.3856550866620518,10
0SD7SOeeIOZzr2NkFO6KQg,32,1.6483472329445001,37
0UP6okN3XeCXaGQ4y7VCqw,33,1.5735266595900628,11
0eT_zxKpmrndjOBEH_RT5w,34,1.4212829348817215,9
0lT4jLMG8I5QtkjowWoarg,35,1.5663446806556411,5
0pYQTY5INOrezCv5b9BWBw,36,1.0491571231288825,11
0qCclQ4dhbJ-7_1j1jpemg,37,1.771845979064457,15
0sL9uFo-1y6f7Ws14mGmww,38,1.8851754963154734,8
0wBTSc0i-QFVDa_uRLzoZg,39,1.742636661035346,35
16Y4do-SCvh148YP6tohpw,40,1.79766115996045,11
18Az07LIqmL1XzTPUF9I2w,41,1.404114646654803,23
1AS2FwO-K2mx_IVgihWeCg,42,1.2065313431087665,13
1C9GHl_InhJZQvhEAWDaww,43,1.5594256817749654,10
1CZDAB5Q9hhKfRBBFQgMsQ,44,1.207221137836561,12
1Dj1VmFzA-t9fT8d4ExJAA,45,1.5325124392390996,55
1GRHw5XTEsLIQefiVwcUiQ,46,1.766541040490952,11
1GYjggaqUELJcVjoXLXFvQ,47,1.8182774969821218,17
1LaRWc3FYAnmoMZ3YbbA2A,48,1.5792294266472764,5
1MqJBdgHUwWkVOq1M01K_w,49,1.4273247147960297,10
1RRaKXM5WefQfmUwTccBfg,50,1.5975778223186796,21
1_ejvGNh3ErL6muPH5Dl6w,51,1.9220263922688432,11
1aoFbEXJ3qYXayRbfqM-dg,52,1.808684867827717,1
1dFC0YhcvFu1ibPVYTkEfA,53,1.4437566440500278,8
1dubTBA-sk2h5yzVwAbO2w,54,1.439232115166153,13
1eOQ1W4mKpWU_0Qoh4vYrw,55,1.8815584397237655,11
1eVSM6naSQ4XHczg-NnTtw,56,1.5524778001759696,9
1i8n5lXGrxSWyVSqO5_CWg,57,1.7546478538509591,9
1jYSeP_IgHR2gP8cxjQV_w,58,1.6365984645893916,15
1kZIf0vqVqRDJ3-1GIumVw,59,1.3331477016529485,10
1lMU2hQKtPzYUxSuUH3q8g,60,1.5746793121305471,19
1phzsrzdfHi84bwxBCpu_A,61,1.7275580333003702,50
1sHVuEifFTKjcskLTsw2mg,62,1.428208212769107,13
1uQ0YD4g05xHfM9zFdEU6A,63,0.9488208644401468,9
1uYygtl6SRdAtj2NR7nV8Q,64,1.6101076245982098,32
1x31YZMW1jg1P4ZfylGKPQ,65,1.4839374406987227,16
1x4jgOGTgChLcXasPfe9zw,66,1.3604604923842307,10
231WruJwGq6km5I8qskGBQ,67,1.5153976582984436,35
237EL2sEpc-ZUEbo0HUYGQ,68,1.4234962988490445,28
24f2R1VuQTcR72FqbqC6IA,69,1.5786444699266018,9
2FEX7rhxCHT8WvaIJ1MU8g,70,1.4563551626194455,7
2GxGId7gQm3rF5D8mV-u0w,71,1.5162266231879078,12
2HodCzS2n66QwRT0lRFjBg,72,1.6939952978191202,21
2J3Aum2msx6O-DAJ7fJa-g,73,1.7380160911394633,9
2JR76gNAqtMlZb6ZwYoHmA,74,1.6686838856615833,21
2MpP_mzVcYo1wp-1eA8j1w,75,1.6128689801069827,17
2RFyJnbJ5AHT9hQp_tMeYw,76,1.4915240416858564,18
2SSRV3x8YXpLC0A1DnZ64w,77,1.4641867188594622,11
2VtTgfomq-rlF7PJSXCxYg,78,1.4587724975118843,6
2Zzb-DoLenLpbt9pXhTQIg,79,1.4171743619327113,52
2_SZnjs84LTD2ima6K1CMg,80,1.6007050993393253,5
2e8uFXZtjL2FFHZ_Q1uQIg,81,1.3558664842691635,9
2oz4z-puG0VOeEbpts2XAA,82,1.6440215341336235,54
2xp2PStd-7u53jh30DkC3A,83,1.6509247819038255,28
2yLD3esBneRzDI4Uh26q-A,84,1.522619674419995,20
38V9LFE9gbmqdxACJ98F8g,85,1.4769575213631676,31
3C4hc2sq3WUFwFS9vnE6Bg,86,1.5001273296199564,12
3E-0Sv6Cy_i0YAj3SPg9Yw,87,1.6167366377391235,33
3EYfeP-wfNWGj-5YZmq-OA,88,1.4651864333439133,51
3JpthXc7GoFp9zaFo_ZfzA,89,1.664702671302263,10
3L7nHnaeSHSdZXzV_vdvAQ,90,1.5841965625688936,92
3LC2sKfvz_nWuJquUDsNnw,91,1.6791247445002062,39
3PYStFhxRclY77OubVXKdg,92,1.1681570581159604,10
3QhEjt7RHDXlw6mE2ZQjNQ,93,1.4052145334841393,25
3Sub5J2d1n63l0W43Ngd_A,94,1.6460472600900853,8
3TBGr5EqFKmpVxGr5qGGyg,95,1.5115109749982198,10
3Uv0dGI2IXJb2OUj8R2GJA,96,1.5082389766686306,10
3ckX2hhMUlLpfbCrYcIqrQ,97,1.3069380835303857,43
3mFKN2cfm_-ulPXv59yWkg,98,1.6780628640194044,25
3mwqzfJCBbYSi_0Tpc_Abg,99,1.3505517969973955,63
3oJQS8KGwiZjZuE672zw_Q,100,1.5928404705248818,10
3shnYp5XKNIAwFF_rq9QPQ,101,1.3842750278287905,29
3vLQGSX5O8So2ON-IZc7nQ,102,1.7176704640882265,7
43Ey_G2M82SpIzHfTkthrA,103,1.761734695310668,20
495ueACTW1s6FfJYfOpzvw,104,1.1692154199151892,13
4Cl9fWN-ZBsZ2XnpfOHGfg,105,1.2931322588443628,10
4Cv9G8xd8nmfqrnwPDubjQ,106,1.4999954170189187,24
4EF9V0R0vEjLph9XhQkjPQ,107,1.6853273845255798,11
4HwS2oCVQ1-f_kzHCv5X3A,108,1.7714039080466712,42
4MVOsEviZF96rVi4jmZIyA,109,1.0573244465525529,51
4P_iokVqJl5ILQOwoYRCpw,110,1.362307123302255,9
4RptW32AaMcCzEArZjjitw,111,1.6005892130451262,26
4TcvKrUfYkqoZ6ejnqVY5w,112,2.024138233083375,8
4UH8A1p0qzJB37gVMBGOkg,113,1.2360813031344184,31
4ZPKNYke1POscDLJ2vpAsA,114,1.8449773278717772,21
4Zkf2iBi2rMBF2QYZebINQ,115,1.589321812451538,11
4_YXHsStJdeo3w3C7crAkw,116,1.5586458240542835,82
4caDdSqWm8qPoavqZqnGlA,117,1.524524410882391,10
4knHrBX5K2sWyrMUuvpfQQ,118,1.6792224117065142,15
4lalShLXrFuMzCac-YGXug,119,1.5836503470432994,11
4m2Gqldc65xqBaHg2ZODsA,120,1.421322788609249,9
4q02ALXu_6i7-GWZAW9ctQ,121,1.7027490711132707,36
4uVjS4Oa7zK7H-vvjZkl1g,122,1.5983780315770633,10
4vIHu7YI5W5LVU1t0hjOkg,123,1.1538821348892323,9
4weYwx_qncWcHYB1-pg5Rg,124,1.1654877229406304,8
4y94_OGjKZ9B4YyhMNrl-w,125,1.4205919006036303,7
4zTUqzgK7MMycdrhNDKIBQ,126,1.6661964068435096,55
5-eLp0PdMxH_0uxqAVVK5A,127,0.5119150529336828,1
527zSsv5OKZET7ZUM1MLcA,128,1.1983037135553565,7
532HXVavyDkEUkfhAw7uUg,129,1.7047364393044342,9
58L4aDYuyKd67ooGEzch8g,130,1.6190466659626235,11
5CB5jr1UDOy0GEcn_YI-yw,131,1.4840823872689488,10
5ClP4O44_kVWBC7deuE3jw,132,1.5377676281982924,21
5Cp6MX8pn9MzsD559QpVfA,133,1.5420793172803462,15
5ElMnvLAua7OtC7ft1fIlg,134,1.7425037117312498,11
5GjnNPUGuNWaFph6YkWYeg,135,1.645188141426236,14
5JHfi_9U4l4fWc7-6OQzgA,136,1.5891766699589345,19
5JOP01e-jC-N3OrnevM7bA,137,1.510615048589561,21
5Jocte6KJea-BJDrib6OMg,138,1.332853088213805,20
5Kbn1FjXmS7Jypz3_ybt_Q,139,1.8323918088486155,44
5PnKjx5K_kVGIMqFKY-lBQ,140,1.8163796542917023,9
5WuM15S_fdmH35SeOSWXbQ,141,1.8729178948781202,7
5WuO2GStwA2IdBnOnGeLbA,142,1.5326008774263005,6
5YJaBErqRfW7DBohbg5LXQ,143,1.2056508819303944,20
5cwNsKHs75obvo_PfDGXGA,144,1.6266323927506767,15
5d17cwPxP27tF95J3dck3w,145,1.633438364509751,7
5dKToOB8XcZNnNHUXe63kA,146,1.5494425783175765,32
5daH8MLkcSyLzDJ7aCC5pA,147,1.4825260214715963,7
5hVHAGS6FzPDsA1MUen8uQ,148,1.4799371655167008,6
5m07b1j1Wr0IzqoGHtQHRQ,149,1.5283828637259484,10
5o4ygoOilLFGpCzj5purQQ,150,1.234529501242243,9
5oM7gXmeX7s6T1_KlL30yQ,151,1.5780077332724434,91
5ogD10-_oV1FDeiL4QJDKQ,152,1.690692079249838,10
5rhVdYC9KwLP7WTInFg1nw,153,1.8014405671792664,12
5u6QNQmmdyeV8SAIFtNd8Q,154,1.5612794336033706,15
66e_wFUf4GsDT2DTZ3u-Xg,155,1.2442718440909766,55
66jhpEuQtg8RHDOKvvoDmA,156,1.6474701000779044,7
6B2pa0JWOtOok_L0Hl9U3w,157,1.6607670736716098,10
6CzDXsYJNXLLbmDAaES4tQ,158,1.6398589850695424,38
6KWsC9r8s7aJZV4YUSuphQ,159,1.7791187754110709,7
6P1yQuEsOtw0Wwk3GU1EkA,160,1.2161332804913707,9
6RxhrHqYYh4pFLE58HpB8g,161,1.4531213956717612,8
6Sl9IAYZKOV295YCwldXbw,162,1.4964713301162633,6
6XMqygujfKBmxF9Azzry-g,163,1.0826272621385322,8
6XRavd6UBlIZb3vXyRBvJQ,164,1.6512885462862914,35
6Y5-r1fDVyKE4eUkEVd6WQ,165,1.6835073905266984,24
6d3VDaHT1qwlylEl9zgojA,166,1.5490348883368985,10
6fzuXBePgLW5LCsd-xEKjQ,167,1.775992202063098,14
6uLqCFKpK7nav7Zp_3TfRA,168,1.4247593352625432,6
6xi9tBoZ6r_v41u_XFsSnA,169,1.6093172425755196,69
6zORGD1TEeE76N5xzG5B5w,170,1.3870867247494432,16
7-4HyBXshIHWt17XPyZz9w,171,1.5761740687456736,13
7-NAfy008hVBpyHZir6_lg,172,1.6316513975178961,16
73ggtekYsCP4wePFk3T71A,173,1.640502787853612,17
76vIFZcC7owykCBjMfGVXg,174,1.4741720962344307,7
76wcvCfs2kB9hDEfLEiE8A,175,1.3061036106091488,8
79Kc3c-JS1ItqMt67uFhZw,176,1.3031277845851643,7
79OIQlYf8mhV3vYjK_868w,177,1.4577396889001448,17
79mGtt6MfE2pC4ptsTa0Yw,178,1.6871331726199847,3
7BcrTQvqRHwCI7DgBeoD1A,179,1.420485905493996,20
7DrgohjxUdqNUikFdMOzQw,180,1.8075919273710046,5
7FVN3uk83AwSScN8uz4NeA,181,1.6619395421989083,15
7Ia5yRck89GVyHzWZKRAYw,182,1.6387992372784042,37
7IxHNhFo-jLtEXawSIffog,183,1.2371980797052873,9
7KsnvR80M9WsIS-hXeevpQ,184,1.470579573513049,14
7O1_x_3IlgjpY9BkiZ16xQ,185,1.5344902753030034,109
7XVdCouobRHHi5Oz3dKpHg,186,1.7317121819614327,12
7c8OBUBnYL3U_4NxWQC79Q,187,1.3783914183736519,7
7cGBAP7X8zjSMj61K5aUPw,188,1.3046694298888528,15
7dAeudULpUVThlmsRF02yw,189,1.577249534532777,10
7fJdnu7Oea0eoSdaSPKTSw,190,1.5561997374211067,9
7l15hCfVJL7x8hEHZGTckA,191,1.9755540229380404,7
7pEANW7-PxOlARhENksXbw,192,1.5354914286583983,8
7q9M8aE3REA-6fzHiD6YdA,193,1.5045267886793676,9
7s6vdgXUvzFrWyG5qtNxOw,194,0.7725018045256439,7
7wjfL27LE-YJtBatpwbPfA,195,1.5050482168095507,11
7y0R7GoMdJ1tYtzlW10SwQ,196,1.1519866799973457,9
7z97KgyMvlD2qNrX7io3Lw,197,1.5207263717563675,9
80gIzmRODibba8kodpabyA,198,1.7120349848795788,17
88Y0RiIM3UGVlNh-LpDmXw,199,1.773301361577492,9
88q6XILHHatszjxxR8CGjA,200,1.5589911787144362,37
89Fx9R45bHMvhx8qG41Zsg,201,1.3180811293195374,17
8EipJXehR14DD9x9N7RSSw,202,1.5708108920373525,98
8KVYIRK2UA3ElGlo3b5zCg,203,1.4412895616626527,13
8LbHzV6Rh-6QOrD9j12TFg,204,0.9512944935136913,15
8MrHNUT0QBpD5vHxn1rD2w,205,1.4898881373493829,14
8PXbCnUQiaZYqYZ_c0RfxQ,206,1.6908011086262942,12
8UGDw-pdt5IunCccN4bVjw,207,1.8608055893179742,7
8ZPgm0zFqTyv1wwP7k42kQ,208,1.7677380034167671,9
8_fAttH_yKopBDrT_2ugHA,209,1.3327119282234483,50
8aRzzGsEHXTFeYvYonFIgw,210,1.3143855713880326,7
8bEOn6l30uJK8Ze1qshSaw,211,1.145644206533747,8
8c3XuWaEQwzbV9AtiXB8mw,212,1.4171390433045212,65
8c7IgkZfyo6RjIoc6zaFKg,213,1.213479390138854,8
8cHUPrWIjipGJL5VO7FyWQ,214,1.505363868352251,8
8cnzPjgCuW4Yu2nv3mQGLQ,215,1.3372030738920024,12
8e-mYM2rCtJLgiLOu224ZQ,216,1.2986282768012494,12
8fi4Ks06EkwcJQMG1Ic54Q,217,1.7335136438595762,11
8g3FfkkOlVC4t7bxoKRrwQ,218,1.5252785478162063,12
8hIQn8wtmL4D_RJQwCOH9A,219,1.6982134443516756,11
8hxPqUZPPDDvoGyQ-pv5Rg,220,1.301768833192753,9
8jopMotnl9LRMA2WN37NhQ,221,1.5662173844661726,20
8ju4H1OS4dxDkmb7m_Lx2w,222,1.5942803129834755,8
8nVRuGchkSj6V_67NcqJUA,223,1.7058127213117456,14
8nf5U2qQppTDe2cEJHjI2Q,224,1.3819938459368366,10
8oRRhniaVuw6soVFGjhP6A,225,1.5396027695554735,34
8teQ4Zc9jpl_ffaPJUn6Ew,226,1.4959823483272976,158
92sdIE4JUZZptwhKtF_kkw,227,1.7797898294428136,55
94IKjzbvzGAqqKOCNvuJjg,228,1.662434855969922,7
9753eOrBVUepAl3hUoHpiw,229,1.6684820733450605,44
9I-kXfb7-1iAQFvHplk1PA,230,1.6991924357828785,32
