user_id,int_u_id,latent_1,n_reviews
-0-hVEpwWEcJLJoGq3rE3g,0,1.498233492781305,31
-2OB54nQ6FsGLUM-R1KXnA,1,1.5615549350929048,47
-7ABF3eAKE98kiufwQ2dng,2,1.2999225032305965,13
-7kvi1FPMZeiKAHrrEy3pA,3,1.353827787456238,13
-ARdx8hOcEWlMDjzwLYZ_g,4,1.3811253920134972,113
-BaKOgO1cAWXELj2qYX2Tw,5,1.4467640097435464,11
-Ben9zLYKB56JzRdBaBoQw,6,1.1638712630796486,5
-Ct5EXCvnDOzJKXzgOj8pQ,7,1.2871928838160658,15
-FI4vjo5w8fbqzbo6LswJg,8,1.3004015959134199,11
-GklRzhYxeEmt2cSYXhXuA,9,1.3437959222668445,13
-HOLRcPh_Nt4wRQ5Y0sb0g,10,1.7465993808443319,7
-IdvfHgPL0PbGly3HJsGMQ,11,1.6228437814666747,13
-Il0Gi_1GxNP010r93lMQQ,12,1.5062517172512713,14
-JCgs75rLU4B-py4yVnsGQ,13,1.6010934862210895,11
-KduD3wwydWDq2GrODh2tw,14,1.3937552311101815,9
-NnADpikTs6IWM9tbNO3Zg,15,1.7811562871647413,14
-NnBFf5fosrLMeqkEwVLHg,16,1.6902134294336302,7
-ONyyxFUhDatBG3vw6PkUw,17,1.6263879162749537,7
-PO7dDqp27hIGio0-D0isg,18,1.8488436772640382,5
-Pk25bOBsvemFaWKDBVBzA,19,1.7349848709379847,16
-Q4bjWlbxmb1yKP4U7OODg,20,1.541436738192553,19
-R-bhbFOrwsNOOTOayptiA,21,1.5631380876076646,15
-SDx-d5jppC4OBBosLVpYw,22,1.6663537525090877,24
-Vu7L3U7-kxDyY1VHxw3zw,23,1.44017949119386,227
-W2RgRrC2TlSY958H3OdvA,24,1.5713855453531669,10
-WUt1ZOttGvFsGwXViubcg,25,1.2719936247326196,10
-XgVXGJnOnW0kQEol6O3Pg,26,1.7393479173323076,18
-Y6tXYPYqeVy37-L5p0rMw,27,1.4433484684798652,59
-a9IN_IZSLphqDCq5r1DUw,28,1.3978427304051115,19
-c_t-8ORqOZBuKE-jdY8aQ,29,1.7618719029209613,45
-dV2GaHNJHhDYbrmu48ZDQ,30,1.5487460536968285,59
-h4nHEPASpo_vL5cUvdQxA,31,1.9078024095869521,25
-hietrA8M58asfpyJkCyiA,32,1.6096799830433723,68
-hnBzgVoRoqLrGVSxO0ilg,33,1.3268448430974467,27
-i8KtsXTRCoMz62ZoDMGGg,34,1.8763200120223549,10
-jHpOIReEQXYymg3duqqqg,35,1.4054711074258253,12
-kE5zO-54cQUmcG6zvfZtA,36,1.3641492469809622,18
-kHD8sV1xywLv_Um3IsfkA,37,1.5594632508874282,16
-lDFKBSR76SyeVVgkhy5wg,38,1.5665715391461277,5
-lH7y5tOBoAWvF4vjDznqg,39,1.435969220645252,14
-nhWu31FzTqS5fZ7c8-ZFg,40,1.4119751643625928,7
-qSB-gmfSdQ1DgLay367ww,41,1.9347934348145184,11
-sNtx3UhCKNBKAEpUrzq1Q,42,1.7114773431074324,7
-t9kQSbZ0Hnehu-L8GmSZA,43,1.6761382507649336,32
-u790YrzgmALW1c7UAD5qw,44,1.6587279098128132,9
-w97ixdca92JmfcSot7FOQ,45,1.5453898586631427,12
-wLLd3ciuLSsyI4CUK8JBg,46,1.60579881098586,11
-wNfZHf1ohO1fY8M_RZV7g,47,1.8127635547384402,11
-x8cmjyJoeBQhC9XySyUzQ,48,1.7331945397987816,24
-xlOz4tH5iEbh2mcyoLWzA,49,1.645429169294267,12
